用户昵称,消息角色,消息内容,时间戳,消息来源 成交与否 成交价是否低于标价 砍价次数 物流费用 
+巴扎嘿-,buyer,22-24有档期吗，什么价,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,你好,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,21到手25归还吗亲亲,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,buyer,可以22到手24归还,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,850r~,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,buyer,22-24有档期吗，什么价,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,你好,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,21到手25归还吗亲亲,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,buyer,可以22到手24归还,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,850r~,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,buyer,+巴扎嘿-(1***h)闲鱼号...,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,buyer,11-11 18:2422-24有档期吗，什么价亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读11-11 20:39你好已读21到手25归还吗亲亲已读11-11 20:51可以22到手24归还+巴扎嘿-可以22到手24归还850r~已读,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,buyer,22-24有档期吗，什么价,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,buyer,22-24有档期吗，什么价,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,buyer,22-24有档期吗，什么价,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,你好已读,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,你好已读,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,你好,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,21到手25归还吗亲亲已读,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,21到手25归还吗亲亲已读,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,21到手25归还吗亲亲,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,buyer,可以22到手24归还,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,buyer,可以22到手24归还,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,buyer,可以22到手24归还,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,+巴扎嘿-可以22到手24归还850r~已读,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,+巴扎嘿-可以22到手24归还850r~已读,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,+巴扎嘿-可以22到手24归还850r~,2025-11-18 22:48:34,browser_automation
+巴扎嘿-,seller,+巴扎嘿-可以22到手24归还,2025-11-18 22:48:34,browser_automation
