用户昵称,消息角色,消息内容,时间戳,消息来源
柠檬草000218,buyer,8.23有吗？,2025-11-18 23:05:33,browser_automation
柠檬草000218,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:05:33,browser_automation
柠檬草000218,seller,你好 目前这个档期租完了哦~,2025-11-18 23:05:33,browser_automation
柠檬草000218,buyer,8.23有吗？,2025-11-18 23:05:33,browser_automation
柠檬草000218,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:05:33,browser_automation
柠檬草000218,seller,你好 目前这个档期租完了哦~,2025-11-18 23:05:33,browser_automation
柠檬草000218,buyer,柠檬草000218(刘***8)闲鱼号...,2025-11-18 23:05:33,browser_automation
柠檬草000218,buyer,08-20 01:268.23有吗？亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读08-20 09:41你好 目前这个档期租完了哦~已读,2025-11-18 23:05:33,browser_automation
柠檬草000218,buyer,8.23有吗？,2025-11-18 23:05:33,browser_automation
柠檬草000218,buyer,8.23有吗？,2025-11-18 23:05:33,browser_automation
柠檬草000218,buyer,8.23有吗？,2025-11-18 23:05:33,browser_automation
柠檬草000218,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:05:33,browser_automation
柠檬草000218,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:05:33,browser_automation
柠檬草000218,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:05:33,browser_automation
柠檬草000218,seller,你好 目前这个档期租完了哦~已读,2025-11-18 23:05:33,browser_automation
柠檬草000218,seller,你好 目前这个档期租完了哦~已读,2025-11-18 23:05:33,browser_automation
柠檬草000218,seller,你好 目前这个档期租完了哦~,2025-11-18 23:05:33,browser_automation
