用户昵称,消息角色,消息内容,时间戳,消息来源
一颗糰籽小小汐,buyer,你好 你在南京吗,2025-11-18 23:02:14,browser_automation
一颗糰籽小小汐,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:02:14,browser_automation
一颗糰籽小小汐,seller,你好 是的,2025-11-18 23:02:14,browser_automation
一颗糰籽小小汐,buyer,你好 你在南京吗,2025-11-18 23:02:14,browser_automation
一颗糰籽小小汐,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:02:14,browser_automation
一颗糰籽小小汐,seller,你好 是的,2025-11-18 23:02:14,browser_automation
一颗糰籽小小汐,buyer,一颗糰籽小小汐(汐***子)闲鱼号...,2025-11-18 23:02:14,browser_automation
一颗糰籽小小汐,buyer,08-30 23:05你好 你在南京吗亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读08-30 23:42？09-01 09:30你好 是的未读,2025-11-18 23:02:14,browser_automation
一颗糰籽小小汐,buyer,你好 你在南京吗,2025-11-18 23:02:14,browser_automation
一颗糰籽小小汐,buyer,你好 你在南京吗,2025-11-18 23:02:14,browser_automation
一颗糰籽小小汐,buyer,你好 你在南京吗,2025-11-18 23:02:14,browser_automation
一颗糰籽小小汐,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:02:14,browser_automation
一颗糰籽小小汐,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:02:14,browser_automation
一颗糰籽小小汐,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:02:14,browser_automation
一颗糰籽小小汐,seller,你好 是的未读,2025-11-18 23:02:14,browser_automation
一颗糰籽小小汐,seller,你好 是的未读,2025-11-18 23:02:14,browser_automation
一颗糰籽小小汐,seller,你好 是的,2025-11-18 23:02:14,browser_automation
