用户昵称,消息角色,消息内容,时间戳,消息来源
TB_65559043,buyer,嗨喽，11月23号当天用，24号还，请问还有不,2025-11-18 22:48:23,browser_automation
TB_65559043,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:48:23,browser_automation
TB_65559043,seller,你好，22到手24还，180顺丰包邮寄出,2025-11-18 22:48:23,browser_automation
TB_65559043,buyer,嗨喽，11月23号当天用，24号还，请问还有不,2025-11-18 22:48:23,browser_automation
TB_65559043,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:48:23,browser_automation
TB_65559043,seller,你好，22到手24还，180顺丰包邮寄出,2025-11-18 22:48:23,browser_automation
TB_65559043,buyer,TB_65559043(j***j)闲鱼号...,2025-11-18 22:48:23,browser_automation
TB_65559043,buyer,11-11 23:14嗨喽，11月23号当天用，24号还，请问还有不亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读11-11 23:32你好，22到手24还，180顺丰包邮寄出已读,2025-11-18 22:48:23,browser_automation
TB_65559043,buyer,嗨喽，11月23号当天用，24号还，请问还有不,2025-11-18 22:48:23,browser_automation
TB_65559043,buyer,嗨喽，11月23号当天用，24号还，请问还有不,2025-11-18 22:48:23,browser_automation
TB_65559043,buyer,嗨喽，11月23号当天用，24号还，请问还有不,2025-11-18 22:48:23,browser_automation
TB_65559043,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:48:23,browser_automation
TB_65559043,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:48:23,browser_automation
TB_65559043,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:48:23,browser_automation
TB_65559043,seller,你好，22到手24还，180顺丰包邮寄出已读,2025-11-18 22:48:23,browser_automation
TB_65559043,seller,你好，22到手24还，180顺丰包邮寄出已读,2025-11-18 22:48:23,browser_automation
TB_65559043,seller,你好，22到手24还，180顺丰包邮寄出,2025-11-18 22:48:23,browser_automation
