用户昵称,消息角色,消息内容,时间戳,消息来源
真的睡不醒_,buyer,佳能sx70 29-30有档期吗,2025-11-18 23:04:27,browser_automation
真的睡不醒_,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:04:27,browser_automation
真的睡不醒_,seller,没有了宝宝,2025-11-18 23:04:27,browser_automation
真的睡不醒_,buyer,佳能sx70 29-30有档期吗,2025-11-18 23:04:27,browser_automation
真的睡不醒_,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:04:27,browser_automation
真的睡不醒_,seller,没有了宝宝,2025-11-18 23:04:27,browser_automation
真的睡不醒_,buyer,真的睡不醒_(x***5)闲鱼号...,2025-11-18 23:04:27,browser_automation
真的睡不醒_,buyer,08-24 12:41佳能sx70 29-30有档期吗亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读没有了宝宝已读,2025-11-18 23:04:27,browser_automation
真的睡不醒_,buyer,佳能sx70 29-30有档期吗,2025-11-18 23:04:27,browser_automation
真的睡不醒_,buyer,佳能sx70 29-30有档期吗,2025-11-18 23:04:27,browser_automation
真的睡不醒_,buyer,佳能sx70 29-30有档期吗,2025-11-18 23:04:27,browser_automation
真的睡不醒_,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:04:27,browser_automation
真的睡不醒_,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:04:27,browser_automation
真的睡不醒_,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:04:27,browser_automation
真的睡不醒_,seller,没有了宝宝已读,2025-11-18 23:04:27,browser_automation
真的睡不醒_,seller,没有了宝宝已读,2025-11-18 23:04:27,browser_automation
真的睡不醒_,seller,没有了宝宝,2025-11-18 23:04:27,browser_automation
