用户昵称,消息角色,消息内容,时间戳,消息来源
居上不易,buyer,南京自提在哪,2025-11-18 23:00:34,browser_automation
居上不易,seller,在建邺区的万达广场那边的宝子,2025-11-18 23:00:34,browser_automation
居上不易,buyer,南京自提在哪,2025-11-18 23:00:34,browser_automation
居上不易,seller,在建邺区的万达广场那边的宝子,2025-11-18 23:00:34,browser_automation
居上不易,buyer,居上不易(薛***偶)闲鱼号...,2025-11-18 23:00:34,browser_automation
居上不易,buyer,09-04 11:40南京自提在哪在建邺区的万达广场那边的宝子已读,2025-11-18 23:00:34,browser_automation
居上不易,buyer,南京自提在哪,2025-11-18 23:00:34,browser_automation
居上不易,buyer,南京自提在哪,2025-11-18 23:00:34,browser_automation
居上不易,buyer,南京自提在哪,2025-11-18 23:00:34,browser_automation
居上不易,seller,在建邺区的万达广场那边的宝子已读,2025-11-18 23:00:34,browser_automation
居上不易,seller,在建邺区的万达广场那边的宝子已读,2025-11-18 23:00:34,browser_automation
居上不易,seller,在建邺区的万达广场那边的宝子,2025-11-18 23:00:34,browser_automation
