用户昵称,消息角色,消息内容,时间戳,消息来源
我妈盒女一,buyer,28号多少,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,你好哇~27到手29归还 90r~,2025-11-18 22:49:19,browser_automation
我妈盒女一,buyer,不包来回运费是吗,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,是滴宝宝 ，租金满100包寄出邮费~,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,两天是110~,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,宝宝可以看看要不要跟朋友一起拼,2025-11-18 22:49:19,browser_automation
我妈盒女一,buyer,28号多少,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,你好哇~27到手29归还 90r~,2025-11-18 22:49:19,browser_automation
我妈盒女一,buyer,不包来回运费是吗,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,是滴宝宝 ，租金满100包寄出邮费~,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,两天是110~,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,宝宝可以看看要不要跟朋友一起拼,2025-11-18 22:49:19,browser_automation
我妈盒女一,buyer,我妈盒女一(t***2)闲鱼号...,2025-11-18 22:49:19,browser_automation
我妈盒女一,buyer,11-11 13:2328号多少11-11 13:31你好哇~27到手29归还 90r~已读不包来回运费是吗是滴宝宝 ，租金满100包寄出邮费~已读两天是110~已读宝宝可以看看要不要跟朋友一起拼已读图片预览已读,2025-11-18 22:49:19,browser_automation
我妈盒女一,buyer,28号多少,2025-11-18 22:49:19,browser_automation
我妈盒女一,buyer,28号多少,2025-11-18 22:49:19,browser_automation
我妈盒女一,buyer,28号多少,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,你好哇~27到手29归还 90r~已读,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,你好哇~27到手29归还 90r~已读,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,你好哇~27到手29归还 90r~,2025-11-18 22:49:19,browser_automation
我妈盒女一,buyer,不包来回运费是吗,2025-11-18 22:49:19,browser_automation
我妈盒女一,buyer,不包来回运费是吗,2025-11-18 22:49:19,browser_automation
我妈盒女一,buyer,不包来回运费是吗,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,是滴宝宝 ，租金满100包寄出邮费~已读,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,是滴宝宝 ，租金满100包寄出邮费~已读,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,是滴宝宝 ，租金满100包寄出邮费~,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,两天是110~已读,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,两天是110~已读,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,两天是110~,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,宝宝可以看看要不要跟朋友一起拼已读,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,宝宝可以看看要不要跟朋友一起拼已读,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,宝宝可以看看要不要跟朋友一起拼,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,图片预览已读,2025-11-18 22:49:19,browser_automation
我妈盒女一,seller,图片预览已读,2025-11-18 22:49:19,browser_automation
