用户昵称,消息角色,消息内容,时间戳,消息来源
不爱睡觉的小仙女0719,buyer,你好，这个怎么租,2025-11-18 22:55:02,browser_automation
不爱睡觉的小仙女0719,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:55:02,browser_automation
不爱睡觉的小仙女0719,seller,你好，您是几号到几号需要？,2025-11-18 22:55:02,browser_automation
不爱睡觉的小仙女0719,buyer,你好，这个怎么租,2025-11-18 22:55:02,browser_automation
不爱睡觉的小仙女0719,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:55:02,browser_automation
不爱睡觉的小仙女0719,seller,你好，您是几号到几号需要？,2025-11-18 22:55:02,browser_automation
不爱睡觉的小仙女0719,buyer,不爱睡觉的小仙女0719(j***n)闲鱼号...,2025-11-18 22:55:02,browser_automation
不爱睡觉的小仙女0719,buyer,10-01 09:47你好，这个怎么租亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读10-01 13:07你好，您是几号到几号需要？未读,2025-11-18 22:55:02,browser_automation
不爱睡觉的小仙女0719,buyer,你好，这个怎么租,2025-11-18 22:55:02,browser_automation
不爱睡觉的小仙女0719,buyer,你好，这个怎么租,2025-11-18 22:55:02,browser_automation
不爱睡觉的小仙女0719,buyer,你好，这个怎么租,2025-11-18 22:55:02,browser_automation
不爱睡觉的小仙女0719,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:55:02,browser_automation
不爱睡觉的小仙女0719,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:55:02,browser_automation
不爱睡觉的小仙女0719,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:55:02,browser_automation
不爱睡觉的小仙女0719,seller,你好，您是几号到几号需要？未读,2025-11-18 22:55:02,browser_automation
不爱睡觉的小仙女0719,seller,你好，您是几号到几号需要？未读,2025-11-18 22:55:02,browser_automation
不爱睡觉的小仙女0719,seller,你好，您是几号到几号需要？,2025-11-18 22:55:02,browser_automation
