用户昵称,消息角色,消息内容,时间戳,消息来源
修勾OvO,buyer,2021两天怎么租,2025-11-18 23:10:52,browser_automation
修勾OvO,seller,两天725,2025-11-18 23:10:52,browser_automation
修勾OvO,seller,顺丰包邮发出,2025-11-18 23:10:52,browser_automation
修勾OvO,buyer,2021两天怎么租,2025-11-18 23:10:52,browser_automation
修勾OvO,seller,两天725,2025-11-18 23:10:52,browser_automation
修勾OvO,seller,顺丰包邮发出,2025-11-18 23:10:52,browser_automation
修勾OvO,buyer,修勾OvO(a***咪)闲鱼号...,2025-11-18 23:10:52,browser_automation
修勾OvO,buyer,08-14 11:322021两天怎么租两天725已读顺丰包邮发出已读,2025-11-18 23:10:52,browser_automation
修勾OvO,buyer,2021两天怎么租,2025-11-18 23:10:52,browser_automation
修勾OvO,buyer,2021两天怎么租,2025-11-18 23:10:52,browser_automation
修勾OvO,buyer,2021两天怎么租,2025-11-18 23:10:52,browser_automation
修勾OvO,seller,两天725已读,2025-11-18 23:10:52,browser_automation
修勾OvO,seller,两天725已读,2025-11-18 23:10:52,browser_automation
修勾OvO,seller,两天725,2025-11-18 23:10:52,browser_automation
修勾OvO,seller,顺丰包邮发出已读,2025-11-18 23:10:52,browser_automation
修勾OvO,seller,顺丰包邮发出已读,2025-11-18 23:10:52,browser_automation
修勾OvO,seller,顺丰包邮发出,2025-11-18 23:10:52,browser_automation
