用户昵称,消息角色,消息内容,时间戳,消息来源
natin780,buyer,问29,2025-11-18 23:03:31,browser_automation
natin780,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:03:31,browser_automation
natin780,seller,没有啦宝子,2025-11-18 23:03:31,browser_automation
natin780,buyer,问29,2025-11-18 23:03:31,browser_automation
natin780,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:03:31,browser_automation
natin780,seller,没有啦宝子,2025-11-18 23:03:31,browser_automation
natin780,buyer,natin780(t***7)闲鱼号...,2025-11-18 23:03:31,browser_automation
natin780,buyer,"08-25 22:23问29该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读08-25 23:17没有啦宝子已读",2025-11-18 23:03:31,browser_automation
natin780,buyer,问29,2025-11-18 23:03:31,browser_automation
natin780,buyer,问29,2025-11-18 23:03:31,browser_automation
natin780,buyer,问29,2025-11-18 23:03:31,browser_automation
natin780,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:03:31,browser_automation
natin780,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:03:31,browser_automation
natin780,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:03:31,browser_automation
natin780,seller,没有啦宝子已读,2025-11-18 23:03:31,browser_automation
natin780,seller,没有啦宝子已读,2025-11-18 23:03:31,browser_automation
natin780,seller,没有啦宝子,2025-11-18 23:03:31,browser_automation
natin780,seller,"该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额",2025-11-18 23:03:31,browser_automation
