用户昵称,消息角色,消息内容,时间戳,消息来源
KK要开心,buyer,你好 8.30日还有档期嘛,2025-11-18 23:02:46,browser_automation
KK要开心,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:02:46,browser_automation
KK要开心,seller,没有了宝宝 这个档期很早租完了,2025-11-18 23:02:46,browser_automation
KK要开心,buyer,你好 8.30日还有档期嘛,2025-11-18 23:02:46,browser_automation
KK要开心,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:02:46,browser_automation
KK要开心,seller,没有了宝宝 这个档期很早租完了,2025-11-18 23:02:46,browser_automation
KK要开心,buyer,KK要开心(k***8)闲鱼号...,2025-11-18 23:02:46,browser_automation
KK要开心,buyer,08-27 13:28你好 8.30日还有档期嘛亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读08-27 22:16没有了宝宝 这个档期很早租完了未读,2025-11-18 23:02:46,browser_automation
KK要开心,buyer,你好 8.30日还有档期嘛,2025-11-18 23:02:46,browser_automation
KK要开心,buyer,你好 8.30日还有档期嘛,2025-11-18 23:02:46,browser_automation
KK要开心,buyer,你好 8.30日还有档期嘛,2025-11-18 23:02:46,browser_automation
KK要开心,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:02:46,browser_automation
KK要开心,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:02:46,browser_automation
KK要开心,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:02:46,browser_automation
KK要开心,seller,没有了宝宝 这个档期很早租完了未读,2025-11-18 23:02:46,browser_automation
KK要开心,seller,没有了宝宝 这个档期很早租完了未读,2025-11-18 23:02:46,browser_automation
KK要开心,seller,没有了宝宝 这个档期很早租完了,2025-11-18 23:02:46,browser_automation
