用户昵称,消息角色,消息内容,时间戳,消息来源
景龙池勤劳的香芋,buyer,你好23号有档期么,2025-11-18 23:09:21,browser_automation
景龙池勤劳的香芋,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:09:21,browser_automation
景龙池勤劳的香芋,seller,没有了噢宝子,2025-11-18 23:09:21,browser_automation
景龙池勤劳的香芋,buyer,你好23号有档期么,2025-11-18 23:09:21,browser_automation
景龙池勤劳的香芋,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:09:21,browser_automation
景龙池勤劳的香芋,seller,没有了噢宝子,2025-11-18 23:09:21,browser_automation
景龙池勤劳的香芋,buyer,景龙池勤劳的香芋(t***1)闲鱼号...,2025-11-18 23:09:21,browser_automation
景龙池勤劳的香芋,buyer,15:07你好23号有档期么亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读没有了噢宝子已读,2025-11-18 23:09:21,browser_automation
景龙池勤劳的香芋,buyer,你好23号有档期么,2025-11-18 23:09:21,browser_automation
景龙池勤劳的香芋,buyer,你好23号有档期么,2025-11-18 23:09:21,browser_automation
景龙池勤劳的香芋,buyer,你好23号有档期么,2025-11-18 23:09:21,browser_automation
景龙池勤劳的香芋,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:09:21,browser_automation
景龙池勤劳的香芋,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:09:21,browser_automation
景龙池勤劳的香芋,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:09:21,browser_automation
景龙池勤劳的香芋,seller,没有了噢宝子已读,2025-11-18 23:09:21,browser_automation
景龙池勤劳的香芋,seller,没有了噢宝子已读,2025-11-18 23:09:21,browser_automation
景龙池勤劳的香芋,seller,没有了噢宝子,2025-11-18 23:09:21,browser_automation
