用户昵称,消息角色,消息内容,时间戳,消息来源
小狗拯救世界,buyer,你好，索尼8.30号收到31号寄回还有嘛,2025-11-18 23:03:20,browser_automation
小狗拯救世界,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:03:20,browser_automation
小狗拯救世界,seller,没有啦宝子,2025-11-18 23:03:20,browser_automation
小狗拯救世界,buyer,你好，索尼8.30号收到31号寄回还有嘛,2025-11-18 23:03:20,browser_automation
小狗拯救世界,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:03:20,browser_automation
小狗拯救世界,seller,没有啦宝子,2025-11-18 23:03:20,browser_automation
小狗拯救世界,buyer,小狗拯救世界(x***8)闲鱼号...,2025-11-18 23:03:20,browser_automation
小狗拯救世界,buyer,08-27 18:49你好，索尼8.30号收到31号寄回还有嘛亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读08-27 22:16没有啦宝子已读,2025-11-18 23:03:20,browser_automation
小狗拯救世界,buyer,你好，索尼8.30号收到31号寄回还有嘛,2025-11-18 23:03:20,browser_automation
小狗拯救世界,buyer,你好，索尼8.30号收到31号寄回还有嘛,2025-11-18 23:03:20,browser_automation
小狗拯救世界,buyer,你好，索尼8.30号收到31号寄回还有嘛,2025-11-18 23:03:20,browser_automation
小狗拯救世界,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:03:20,browser_automation
小狗拯救世界,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:03:20,browser_automation
小狗拯救世界,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:03:20,browser_automation
小狗拯救世界,seller,没有啦宝子已读,2025-11-18 23:03:20,browser_automation
小狗拯救世界,seller,没有啦宝子已读,2025-11-18 23:03:20,browser_automation
小狗拯救世界,seller,没有啦宝子,2025-11-18 23:03:20,browser_automation
