用户昵称,消息角色,消息内容,时间戳,消息来源
番茄鱼x,buyer,你好10.3索尼胖卡4还有档期吗,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,你好，有的,2025-11-18 22:55:46,browser_automation
番茄鱼x,buyer,2号收4号寄回多少钱呢,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,10.2到手，10.4寄回，380~顺丰包邮寄出,2025-11-18 22:55:46,browser_automation
番茄鱼x,buyer,好吧,2025-11-18 22:55:46,browser_automation
番茄鱼x,buyer,你好10.3索尼胖卡4还有档期吗,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,你好，有的,2025-11-18 22:55:46,browser_automation
番茄鱼x,buyer,2号收4号寄回多少钱呢,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,10.2到手，10.4寄回，380~顺丰包邮寄出,2025-11-18 22:55:46,browser_automation
番茄鱼x,buyer,好吧,2025-11-18 22:55:46,browser_automation
番茄鱼x,buyer,番茄鱼x(x***5)闲鱼号...,2025-11-18 22:55:46,browser_automation
番茄鱼x,buyer,09-23 20:38你好10.3索尼胖卡4还有档期吗亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读你好，有的已读2号收4号寄回多少钱呢10.2到手，10.4寄回，380~顺丰包邮寄出已读好吧已读,2025-11-18 22:55:46,browser_automation
番茄鱼x,buyer,你好10.3索尼胖卡4还有档期吗,2025-11-18 22:55:46,browser_automation
番茄鱼x,buyer,你好10.3索尼胖卡4还有档期吗,2025-11-18 22:55:46,browser_automation
番茄鱼x,buyer,你好10.3索尼胖卡4还有档期吗,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,你好，有的已读,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,你好，有的已读,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,你好，有的,2025-11-18 22:55:46,browser_automation
番茄鱼x,buyer,2号收4号寄回多少钱呢,2025-11-18 22:55:46,browser_automation
番茄鱼x,buyer,2号收4号寄回多少钱呢,2025-11-18 22:55:46,browser_automation
番茄鱼x,buyer,2号收4号寄回多少钱呢,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,10.2到手，10.4寄回，380~顺丰包邮寄出已读,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,10.2到手，10.4寄回，380~顺丰包邮寄出已读,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,10.2到手，10.4寄回，380~顺丰包邮寄出,2025-11-18 22:55:46,browser_automation
番茄鱼x,buyer,好吧,2025-11-18 22:55:46,browser_automation
番茄鱼x,buyer,好吧,2025-11-18 22:55:46,browser_automation
番茄鱼x,buyer,好吧,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,已读,2025-11-18 22:55:46,browser_automation
番茄鱼x,seller,已读,2025-11-18 22:55:46,browser_automation
