用户昵称,消息角色,消息内容,时间戳,消息来源
洒脱的奇奇,buyer,盒子还在吗？,2025-11-18 22:45:49,browser_automation
洒脱的奇奇,seller,无原装盒子。有保护壳。,2025-11-18 22:45:49,browser_automation
洒脱的奇奇,buyer,盒子还在吗？,2025-11-18 22:45:49,browser_automation
洒脱的奇奇,seller,无原装盒子。有保护壳。,2025-11-18 22:45:49,browser_automation
洒脱的奇奇,buyer,洒脱的奇奇(购***穷)闲鱼号...,2025-11-18 22:45:49,browser_automation
洒脱的奇奇,buyer,21:32盒子还在吗？无原装盒子。有保护壳。已读,2025-11-18 22:45:49,browser_automation
洒脱的奇奇,buyer,盒子还在吗？,2025-11-18 22:45:49,browser_automation
洒脱的奇奇,buyer,盒子还在吗？,2025-11-18 22:45:49,browser_automation
洒脱的奇奇,buyer,盒子还在吗？,2025-11-18 22:45:49,browser_automation
洒脱的奇奇,seller,无原装盒子。有保护壳。已读,2025-11-18 22:45:49,browser_automation
洒脱的奇奇,seller,无原装盒子。有保护壳。已读,2025-11-18 22:45:49,browser_automation
洒脱的奇奇,seller,无原装盒子。有保护壳。,2025-11-18 22:45:49,browser_automation
