用户昵称,消息角色,消息内容,时间戳,消息来源
巴黎游泳芦丁,buyer,你好,2025-11-18 22:52:27,browser_automation
巴黎游泳芦丁,seller,你好~,2025-11-18 22:52:27,browser_automation
巴黎游泳芦丁,buyer,你好,2025-11-18 22:52:27,browser_automation
巴黎游泳芦丁,seller,你好~,2025-11-18 22:52:27,browser_automation
巴黎游泳芦丁,buyer,巴黎游泳芦丁(t***5)闲鱼号...,2025-11-18 22:52:27,browser_automation
巴黎游泳芦丁,buyer,10-22 10:54你好你好~已读,2025-11-18 22:52:27,browser_automation
巴黎游泳芦丁,buyer,你好,2025-11-18 22:52:27,browser_automation
巴黎游泳芦丁,buyer,你好,2025-11-18 22:52:27,browser_automation
巴黎游泳芦丁,buyer,你好,2025-11-18 22:52:27,browser_automation
巴黎游泳芦丁,seller,你好~已读,2025-11-18 22:52:27,browser_automation
巴黎游泳芦丁,seller,你好~已读,2025-11-18 22:52:27,browser_automation
巴黎游泳芦丁,seller,你好~,2025-11-18 22:52:27,browser_automation
