用户昵称,消息角色,消息内容,时间戳,消息来源
一只绵羊兔,seller,9.13-9.14，9.12到手，9.15寄回    300~顺丰包邮寄出哈宝子,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,昂 可以滴可以滴,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,我13号上午拿到就可以,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,能优惠点吗,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,13号中午左右到手的话，等于是14一天,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,13到手，15还，250,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,不确保上午就能拿到~因为要看当时顺丰小哥派送的时效,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,我们只能确保13当天能到,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,那13 14两天250可以吗,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,如果说是需要13早上到，建议宝子这边是13-14两天，12到手，15寄回，会比较有保障,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,我月底还要租一次,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,不议价噢宝宝,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,好吧 那算了我再看看,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,好的好的,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,9.13-9.14，9.12到手，9.15寄回    300~顺丰包邮寄出哈宝子,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,昂 可以滴可以滴,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,我13号上午拿到就可以,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,能优惠点吗,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,13号中午左右到手的话，等于是14一天,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,13到手，15还，250,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,不确保上午就能拿到~因为要看当时顺丰小哥派送的时效,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,我们只能确保13当天能到,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,那13 14两天250可以吗,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,如果说是需要13早上到，建议宝子这边是13-14两天，12到手，15寄回，会比较有保障,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,我月底还要租一次,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,不议价噢宝宝,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,好吧 那算了我再看看,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,好的好的,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,一只绵羊兔(马***4)闲鱼号...,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,你撤回了一条消息9.13-9.14，9.12到手，9.15寄回    300~顺丰包邮寄出哈宝子已读一只绵羊兔南京江宁区昂 可以滴可以滴已读我13号上午拿到就可以能优惠点吗一只绵羊兔我13号上午拿到就可以13号中午左右到手的话，等于是14一天已读13到手，15还，250已读不确保上午就能拿到~因为要看当时顺丰小哥派送的时效已读我们只能确保13当天能到已读那13 14两天250可以吗如果说是需要13早上到，建议宝子这边是13-14两天，12到手，15寄回，会比较有保障已读我月底还要租一次不议价噢宝宝已读不想宝贝被砍价? 设置不砍价回复已读好吧 那算了我再看看09-10 20:48好的好的已读,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,9.13-9.14，9.12到手，9.15寄回    300~顺丰包邮寄出哈宝子已读,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,9.13-9.14，9.12到手，9.15寄回    300~顺丰包邮寄出哈宝子已读,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,9.13-9.14，9.12到手，9.15寄回    300~顺丰包邮寄出哈宝子,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,一只绵羊兔南京江宁区昂 可以滴可以滴已读,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,一只绵羊兔南京江宁区昂 可以滴可以滴已读,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,一只绵羊兔南京江宁区昂 可以滴可以滴,2025-11-18 22:59:06,browser_automation
一只绵羊兔,seller,一只绵羊兔南京江宁区,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,我13号上午拿到就可以,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,我13号上午拿到就可以,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,我13号上午拿到就可以,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,能优惠点吗,2025-11-18 22:59:06,browser_automation
一只绵羊兔,buyer,能优惠点吗,2025-11-18 22:59:06,browser_automation
