用户昵称,消息角色,消息内容,时间戳,消息来源
巨石星出馊主意的荆芥,buyer,vivox200ultra➕增距镜有吗,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,seller,你好，有的,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,buyer,vivox200ultra➕增距镜有吗,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,seller,你好，有的,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,buyer,巨石星出馊主意的荆芥(z***王)闲鱼号...,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,buyer,"08-16 16:37vivox200ultra➕增距镜有吗该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读08-17 10:08你好，有的已读【免押】VIVO X200Ultra出租 演唱会长焦手机¥250.00已读",2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,buyer,vivox200ultra➕增距镜有吗,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,buyer,vivox200ultra➕增距镜有吗,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,buyer,vivox200ultra➕增距镜有吗,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,seller,你好，有的已读,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,seller,你好，有的已读,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,seller,你好，有的,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,seller,【免押】VIVO X200Ultra出租 演唱会长焦手机¥250.00已读,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,seller,【免押】VIVO X200Ultra出租 演唱会长焦手机¥250.00已读,2025-11-18 23:09:56,browser_automation
巨石星出馊主意的荆芥,seller,"该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额",2025-11-18 23:09:56,browser_automation
