用户昵称,消息角色,消息内容,时间戳,消息来源
当代跳脚陈皮,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,seller,细节图发一下给你,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,buyer,看不到啊,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,seller,看不到吗,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,seller,有磨损的就是如图的这几个地方了哈 其他的都没有了,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,buyer,这里是哪里？看不出来啊？,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,seller,这个位置的~,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,buyer,不明白看不出来,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,buyer,5s,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,seller,细节图发一下给你,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,buyer,看不到啊,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,seller,看不到吗,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,seller,有磨损的就是如图的这几个地方了哈 其他的都没有了,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,buyer,这里是哪里？看不出来啊？,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,seller,这个位置的~,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,buyer,不明白看不出来,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,buyer,5s,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,buyer,当代跳脚陈皮(x***6)闲鱼号...,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:52:48,browser_automation
当代跳脚陈皮,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:52:48,browser_automation
