用户昵称,消息角色,消息内容,时间戳,消息来源
芋泥啵啵,seller,okk.已改免押价,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,okk.已改免押价,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,芋泥啵啵(t***9)闲鱼号...,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,去评价,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,10-23 10:32我已修改价格，等待你付款请确认价格与协商一致，并在24小时内付款已读okk.已改免押价已读我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货10-23 12:34你已发货请确认商品寄回地址请尽快确认商品寄回地址 去确认10-23 14:30订单已签收10-26 00:00租期结束，请尽快寄回商品请和卖家确认地址后寄回未读10-27 19:12买家已寄回我已寄回，请尽快确认您需在7日内完成商品验收和确认退回金额10-29 12:40我已寄回，请尽快确认您需在7日内完成商品验收和确认退回金额11-01 15:55请确认退回金额我已验货完成，请尽快确认未读11-01 17:56买家已确认退回金额，交易成功,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,我已修改价格，等待你付款请确认价格与协商一致，并在24小时内付款已读,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,我已修改价格，等待你付款请确认价格与协商一致，并在24小时内付款已读,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,okk.已改免押价已读,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,okk.已改免押价已读,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,okk.已改免押价,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回未读,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回未读,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,我已寄回，请尽快确认您需在7日内完成商品验收和确认退回金额,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,我已寄回，请尽快确认您需在7日内完成商品验收和确认退回金额,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,我已寄回，请尽快确认您需在7日内完成商品验收和确认退回金额,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,我已寄回，请尽快确认您需在7日内完成商品验收和确认退回金额,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,请确认退回金额我已验货完成，请尽快确认未读,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,请确认退回金额我已验货完成，请尽快确认未读,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,我已修改价格，等待你付款请确认价格与协商一致，并在24小时内付款,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,我已修改价格，等待你付款,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,请确认价格与协商一致，并在24小时内付款,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,我已付款，等待你发货请包装好商品，并按我在闲鱼上提供的地址发货去发货,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,我已付款，等待你发货,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,请包装好商品，并按我在闲鱼上提供的地址发货,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,去发货,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,去发货,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,你已发货,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,请确认商品寄回地址请尽快确认商品寄回地址 去确认,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,订单已签收,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,租期结束，请尽快寄回商品,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,请和卖家确认地址后寄回,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,买家已寄回,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,我已寄回，请尽快确认您需在7日内完成商品验收和确认退回金额,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,我已寄回，请尽快确认,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,您需在7日内完成商品验收和确认退回金额,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,我已寄回，请尽快确认您需在7日内完成商品验收和确认退回金额,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,我已寄回，请尽快确认,2025-11-18 22:50:25,browser_automation
芋泥啵啵,buyer,您需在7日内完成商品验收和确认退回金额,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,请确认退回金额我已验货完成，请尽快确认,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,请确认退回金额,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,我已验货完成，请尽快确认,2025-11-18 22:50:25,browser_automation
芋泥啵啵,seller,买家已确认退回金额，交易成功,2025-11-18 22:50:25,browser_automation
