用户昵称,消息角色,消息内容,时间戳,消息来源
玩转超级擦亮,buyer,11月20日有档期吗？,2025-11-18 22:46:00,browser_automation
玩转超级擦亮,seller,有档期，全新现货。,2025-11-18 22:46:00,browser_automation
玩转超级擦亮,buyer,11月20日有档期吗？,2025-11-18 22:46:00,browser_automation
玩转超级擦亮,seller,有档期，全新现货。,2025-11-18 22:46:00,browser_automation
玩转超级擦亮,buyer,玩转超级擦亮(t***5)闲鱼号...,2025-11-18 22:46:00,browser_automation
玩转超级擦亮,buyer,21:3211月20日有档期吗？有档期，全新现货。已读,2025-11-18 22:46:00,browser_automation
玩转超级擦亮,buyer,11月20日有档期吗？,2025-11-18 22:46:00,browser_automation
玩转超级擦亮,buyer,11月20日有档期吗？,2025-11-18 22:46:00,browser_automation
玩转超级擦亮,buyer,11月20日有档期吗？,2025-11-18 22:46:00,browser_automation
玩转超级擦亮,seller,有档期，全新现货。已读,2025-11-18 22:46:00,browser_automation
玩转超级擦亮,seller,有档期，全新现货。已读,2025-11-18 22:46:00,browser_automation
玩转超级擦亮,seller,有档期，全新现货。,2025-11-18 22:46:00,browser_automation
