用户昵称,消息角色,消息内容,时间戳,消息来源
澍即及时雨,buyer,胖卡4 8.28收到 8.31寄出 多少呀,2025-11-18 23:10:41,browser_automation
澍即及时雨,seller,你好 宝子~,2025-11-18 23:10:41,browser_automation
澍即及时雨,seller,425哈,2025-11-18 23:10:41,browser_automation
澍即及时雨,seller,顺丰包邮寄出,2025-11-18 23:10:41,browser_automation
澍即及时雨,buyer,胖卡4 8.28收到 8.31寄出 多少呀,2025-11-18 23:10:41,browser_automation
澍即及时雨,seller,你好 宝子~,2025-11-18 23:10:41,browser_automation
澍即及时雨,seller,425哈,2025-11-18 23:10:41,browser_automation
澍即及时雨,seller,顺丰包邮寄出,2025-11-18 23:10:41,browser_automation
澍即及时雨,buyer,澍即及时雨(t***0)闲鱼号...,2025-11-18 23:10:41,browser_automation
澍即及时雨,buyer,08-14 12:02胖卡4 8.28收到 8.31寄出 多少呀08-14 12:28你好 宝子~已读425哈已读顺丰包邮寄出已读,2025-11-18 23:10:41,browser_automation
澍即及时雨,buyer,胖卡4 8.28收到 8.31寄出 多少呀,2025-11-18 23:10:41,browser_automation
澍即及时雨,buyer,胖卡4 8.28收到 8.31寄出 多少呀,2025-11-18 23:10:41,browser_automation
澍即及时雨,buyer,胖卡4 8.28收到 8.31寄出 多少呀,2025-11-18 23:10:41,browser_automation
澍即及时雨,seller,你好 宝子~已读,2025-11-18 23:10:41,browser_automation
澍即及时雨,seller,你好 宝子~已读,2025-11-18 23:10:41,browser_automation
澍即及时雨,seller,你好 宝子~,2025-11-18 23:10:41,browser_automation
澍即及时雨,seller,425哈已读,2025-11-18 23:10:41,browser_automation
澍即及时雨,seller,425哈已读,2025-11-18 23:10:41,browser_automation
澍即及时雨,seller,425哈,2025-11-18 23:10:41,browser_automation
澍即及时雨,seller,顺丰包邮寄出已读,2025-11-18 23:10:41,browser_automation
澍即及时雨,seller,顺丰包邮寄出已读,2025-11-18 23:10:41,browser_automation
澍即及时雨,seller,顺丰包邮寄出,2025-11-18 23:10:41,browser_automation
