用户昵称,消息角色,消息内容,时间戳,消息来源
SRR鑫源,buyer,可以置换嘛,2025-11-18 22:49:30,browser_automation
SRR鑫源,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:49:30,browser_automation
SRR鑫源,buyer,我的是n3,2025-11-18 22:49:30,browser_automation
SRR鑫源,seller,你好 不置换哦亲亲~,2025-11-18 22:49:30,browser_automation
SRR鑫源,buyer,可以置换嘛,2025-11-18 22:49:30,browser_automation
SRR鑫源,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:49:30,browser_automation
SRR鑫源,buyer,我的是n3,2025-11-18 22:49:30,browser_automation
SRR鑫源,seller,你好 不置换哦亲亲~,2025-11-18 22:49:30,browser_automation
SRR鑫源,buyer,SRR鑫源(t***7)闲鱼号...,2025-11-18 22:49:30,browser_automation
SRR鑫源,buyer,11-10 20:31可以置换嘛亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读我的是n311-11 09:08你好 不置换哦亲亲~已读,2025-11-18 22:49:30,browser_automation
SRR鑫源,buyer,可以置换嘛,2025-11-18 22:49:30,browser_automation
SRR鑫源,buyer,可以置换嘛,2025-11-18 22:49:30,browser_automation
SRR鑫源,buyer,可以置换嘛,2025-11-18 22:49:30,browser_automation
SRR鑫源,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:49:30,browser_automation
SRR鑫源,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:49:30,browser_automation
SRR鑫源,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:49:30,browser_automation
SRR鑫源,buyer,我的是n3,2025-11-18 22:49:30,browser_automation
SRR鑫源,buyer,我的是n3,2025-11-18 22:49:30,browser_automation
SRR鑫源,buyer,我的是n3,2025-11-18 22:49:30,browser_automation
SRR鑫源,seller,你好 不置换哦亲亲~已读,2025-11-18 22:49:30,browser_automation
SRR鑫源,seller,你好 不置换哦亲亲~已读,2025-11-18 22:49:30,browser_automation
SRR鑫源,seller,你好 不置换哦亲亲~,2025-11-18 22:49:30,browser_automation
