用户昵称,消息角色,消息内容,时间戳,消息来源
Yu.Yan,buyer,胖卡四还有吗,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,16-18,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,16-18没有了宝宝,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,这么突然吗哈哈哈,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,前几天太忙忘记了,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,抱抱~,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,谢谢 还有没有类似的机型可以租呢。,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,16-18看演唱会用的话 目前剩几台740了宝宝,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,胖卡四还有吗,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,16-18,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,16-18没有了宝宝,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,这么突然吗哈哈哈,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,前几天太忙忘记了,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,抱抱~,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,谢谢 还有没有类似的机型可以租呢。,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,16-18看演唱会用的话 目前剩几台740了宝宝,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,Yu.Yan(t***3)闲鱼号...,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,08-14 19:35胖卡四还有吗亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读16-1808-14 21:2916-18没有了宝宝已读这么突然吗哈哈哈已读08-14 22:16前几天太忙忘记了抱抱~已读谢谢 还有没有类似的机型可以租呢。08-15 09:3216-18看演唱会用的话 目前剩几台740了宝宝已读,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,胖卡四还有吗,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,胖卡四还有吗,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,胖卡四还有吗,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,16-18,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,16-18,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,16-18,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,16-18没有了宝宝已读,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,16-18没有了宝宝已读,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,16-18没有了宝宝,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,这么突然吗哈哈哈已读,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,这么突然吗哈哈哈已读,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,这么突然吗哈哈哈,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,前几天太忙忘记了,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,前几天太忙忘记了,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,前几天太忙忘记了,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,抱抱~已读,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,抱抱~已读,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,抱抱~,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,谢谢 还有没有类似的机型可以租呢。,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,谢谢 还有没有类似的机型可以租呢。,2025-11-18 23:10:19,browser_automation
Yu.Yan,buyer,谢谢 还有没有类似的机型可以租呢。,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,16-18看演唱会用的话 目前剩几台740了宝宝已读,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,16-18看演唱会用的话 目前剩几台740了宝宝已读,2025-11-18 23:10:19,browser_automation
Yu.Yan,seller,16-18看演唱会用的话 目前剩几台740了宝宝,2025-11-18 23:10:19,browser_automation
