用户昵称,消息角色,消息内容,时间戳,消息来源
绯子芽极,buyer,你好，问一下29号,2025-11-18 23:04:38,browser_automation
绯子芽极,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:04:38,browser_automation
绯子芽极,seller,没有了宝宝,2025-11-18 23:04:38,browser_automation
绯子芽极,buyer,你好，问一下29号,2025-11-18 23:04:38,browser_automation
绯子芽极,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:04:38,browser_automation
绯子芽极,seller,没有了宝宝,2025-11-18 23:04:38,browser_automation
绯子芽极,buyer,绯子芽极(t***1)闲鱼号...,2025-11-18 23:04:38,browser_automation
绯子芽极,buyer,08-24 09:28你好，问一下29号亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读08-24 11:08没有了宝宝已读,2025-11-18 23:04:38,browser_automation
绯子芽极,buyer,你好，问一下29号,2025-11-18 23:04:38,browser_automation
绯子芽极,buyer,你好，问一下29号,2025-11-18 23:04:38,browser_automation
绯子芽极,buyer,你好，问一下29号,2025-11-18 23:04:38,browser_automation
绯子芽极,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:04:38,browser_automation
绯子芽极,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:04:38,browser_automation
绯子芽极,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:04:38,browser_automation
绯子芽极,seller,没有了宝宝已读,2025-11-18 23:04:38,browser_automation
绯子芽极,seller,没有了宝宝已读,2025-11-18 23:04:38,browser_automation
绯子芽极,seller,没有了宝宝,2025-11-18 23:04:38,browser_automation
