用户昵称,消息角色,消息内容,时间戳,消息来源
流萤^-^,buyer,你好，11.22收到11.24寄回的话还有档期吗,2025-11-18 22:49:08,browser_automation
流萤^-^,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:49:08,browser_automation
流萤^-^,seller,你好~,2025-11-18 22:49:08,browser_automation
流萤^-^,seller,850r~,2025-11-18 22:49:08,browser_automation
流萤^-^,buyer,你好，11.22收到11.24寄回的话还有档期吗,2025-11-18 22:49:08,browser_automation
流萤^-^,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:49:08,browser_automation
流萤^-^,seller,你好~,2025-11-18 22:49:08,browser_automation
流萤^-^,seller,850r~,2025-11-18 22:49:08,browser_automation
流萤^-^,buyer,流萤^-^(t***5)闲鱼号...,2025-11-18 22:49:08,browser_automation
流萤^-^,buyer,11-11 18:43你好，11.22收到11.24寄回的话还有档期吗亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复未读11-11 20:39你好~未读850r~未读,2025-11-18 22:49:08,browser_automation
流萤^-^,buyer,你好，11.22收到11.24寄回的话还有档期吗,2025-11-18 22:49:08,browser_automation
流萤^-^,buyer,你好，11.22收到11.24寄回的话还有档期吗,2025-11-18 22:49:08,browser_automation
流萤^-^,buyer,你好，11.22收到11.24寄回的话还有档期吗,2025-11-18 22:49:08,browser_automation
流萤^-^,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复未读,2025-11-18 22:49:08,browser_automation
流萤^-^,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复未读,2025-11-18 22:49:08,browser_automation
流萤^-^,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:49:08,browser_automation
流萤^-^,seller,你好~未读,2025-11-18 22:49:08,browser_automation
流萤^-^,seller,你好~未读,2025-11-18 22:49:08,browser_automation
流萤^-^,seller,你好~,2025-11-18 22:49:08,browser_automation
流萤^-^,seller,850r~未读,2025-11-18 22:49:08,browser_automation
流萤^-^,seller,850r~未读,2025-11-18 22:49:08,browser_automation
流萤^-^,seller,850r~,2025-11-18 22:49:08,browser_automation
