用户昵称,消息角色,消息内容,时间戳,消息来源
没问题请及时确收哦,buyer,您好我想租相机📷,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,buyer,满18了哦,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,seller,宝子是几号到几号需要？,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,buyer,您好我想租相机📷,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,buyer,满18了哦,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,seller,宝子是几号到几号需要？,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,buyer,没问题请及时确收哦(t***1)闲鱼号...,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,buyer,08-24 13:04您好我想租相机📷亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读图片预览满18了哦08-24 14:30宝子是几号到几号需要？已读,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,buyer,您好我想租相机📷,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,buyer,您好我想租相机📷,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,buyer,您好我想租相机📷,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,buyer,图片预览,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,buyer,图片预览,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,buyer,满18了哦,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,buyer,满18了哦,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,buyer,满18了哦,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,seller,宝子是几号到几号需要？已读,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,seller,宝子是几号到几号需要？已读,2025-11-18 23:03:53,browser_automation
没问题请及时确收哦,seller,宝子是几号到几号需要？,2025-11-18 23:03:53,browser_automation
