用户昵称,消息角色,消息内容,时间戳,消息来源
足球城积极的桔梗,buyer,原来，我拆开看看,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,你好,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,我再买一个,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,1150好吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,和那天说的价格,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,在吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,你好在的,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,今天休息了 没看手机 不好意思啊😂😂,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,1150可以吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,可以的,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,您拍下不付款，明天早上给你发可以不？,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,另外一个外观有问题吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,另外一台是这个,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,准备一起发货给你的那天哈哈,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,原来，我拆开看看,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,你好,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,我再买一个,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,1150好吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,和那天说的价格,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,在吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,你好在的,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,今天休息了 没看手机 不好意思啊😂😂,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,1150可以吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,可以的,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,您拍下不付款，明天早上给你发可以不？,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,另外一个外观有问题吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,另外一台是这个,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,准备一起发货给你的那天哈哈,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,足球城积极的桔梗(t***8)闲鱼号...,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,去评价,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,10-24 10:12已读原来，我拆开看看10-25 12:11你好我再买一个1150好吗和那天说的价格10-25 12:42在吗10-25 13:21买家已确认收货，交易成功快给ta一个评价吧～说说这次的交易体验，帮助更多人去评价？10-25 15:51你好在的已读今天休息了 没看手机 不好意思啊😂😂已读10-25 17:461150可以吗10-25 18:00可以的已读您拍下不付款，明天早上给你发可以不？已读另外一个外观有问题吗图片预览已读图片预览已读另外一台是这个已读准备一起发货给你的那天哈哈已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,原来，我拆开看看,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,原来，我拆开看看,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,原来，我拆开看看,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,你好,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,你好,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,你好,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,我再买一个,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,我再买一个,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,我再买一个,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,1150好吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,1150好吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,1150好吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,和那天说的价格,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,和那天说的价格,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,和那天说的价格,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,在吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,在吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,在吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,你好在的已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,你好在的已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,你好在的,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,今天休息了 没看手机 不好意思啊😂😂已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,今天休息了 没看手机 不好意思啊😂😂已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,今天休息了 没看手机 不好意思啊😂😂,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,1150可以吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,1150可以吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,1150可以吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,可以的已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,可以的已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,可以的,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,您拍下不付款，明天早上给你发可以不？已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,您拍下不付款，明天早上给你发可以不？已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,您拍下不付款，明天早上给你发可以不？,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,另外一个外观有问题吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,另外一个外观有问题吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,另外一个外观有问题吗,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,图片预览已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,图片预览已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,图片预览已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,图片预览已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,另外一台是这个已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,另外一台是这个已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,另外一台是这个,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,准备一起发货给你的那天哈哈已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,准备一起发货给你的那天哈哈已读,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,准备一起发货给你的那天哈哈,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,seller,买家已确认收货，交易成功,2025-11-18 22:51:42,browser_automation
足球城积极的桔梗,buyer,快给ta一个评价吧～说说这次的交易体验，帮助更多人去评价,2025-11-18 22:51:42,browser_automation
