用户昵称,消息角色,消息内容,时间戳,消息来源
葡萄冰冰冰,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,buyer,葡萄冰冰冰(t***2)闲鱼号...,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,查看评价,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,buyer,"08-25 11:51你已发货该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额08-27 00:00请确认商品寄回地址请尽快确认商品寄回地址 去确认08-30 20:36买家已寄回该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额09-02 09:23我已寄回，请尽快确认您需在7日内完成商品验收和确认退回金额请确认退回金额我已验货完成，请尽快确认已读09-02 12:19买家已确认退回金额，交易成功该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~已读我完成了评价期待你的评价去评价09-02 14:35我完成了评价已完成互评，可以查看评价查看评价已读",2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,buyer,我已寄回，请尽快确认您需在7日内完成商品验收和确认退回金额,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,buyer,我已寄回，请尽快确认您需在7日内完成商品验收和确认退回金额,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,请确认退回金额我已验货完成，请尽快确认已读,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,请确认退回金额我已验货完成，请尽快确认已读,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~已读,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~已读,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,buyer,我完成了评价期待你的评价去评价,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,buyer,我完成了评价期待你的评价去评价,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,我完成了评价已完成互评，可以查看评价查看评价已读,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,我完成了评价已完成互评，可以查看评价查看评价已读,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,你已发货,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,"该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额",2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,buyer,请确认商品寄回地址请尽快确认商品寄回地址 去确认,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,买家已寄回,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,"该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额",2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,buyer,我已寄回，请尽快确认您需在7日内完成商品验收和确认退回金额,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,buyer,我已寄回，请尽快确认,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,buyer,您需在7日内完成商品验收和确认退回金额,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,请确认退回金额我已验货完成，请尽快确认,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,请确认退回金额,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,我已验货完成，请尽快确认,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,买家已确认退回金额，交易成功,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,"该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额",2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,buyer,我完成了评价期待你的评价去评价,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,buyer,我完成了评价,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,buyer,期待你的评价,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,去评价,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,去评价,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,我完成了评价已完成互评，可以查看评价查看评价,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,我完成了评价,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,已完成互评，可以查看评价,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,查看评价,2025-11-18 23:01:29,browser_automation
葡萄冰冰冰,seller,查看评价,2025-11-18 23:01:29,browser_automation
