用户昵称,消息角色,消息内容,时间戳,消息来源
等你说晚安,buyer,问胖卡4，29、30号有档期吗,2025-11-18 23:04:48,browser_automation
等你说晚安,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:04:48,browser_automation
等你说晚安,seller,没有啦宝子,2025-11-18 23:04:48,browser_automation
等你说晚安,buyer,问胖卡4，29、30号有档期吗,2025-11-18 23:04:48,browser_automation
等你说晚安,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:04:48,browser_automation
等你说晚安,seller,没有啦宝子,2025-11-18 23:04:48,browser_automation
等你说晚安,buyer,等你说晚安(t***2)闲鱼号...,2025-11-18 23:04:48,browser_automation
等你说晚安,buyer,"08-23 00:46问胖卡4，29、30号有档期吗该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读08-23 09:14没有啦宝子已读",2025-11-18 23:04:48,browser_automation
等你说晚安,buyer,问胖卡4，29、30号有档期吗,2025-11-18 23:04:48,browser_automation
等你说晚安,buyer,问胖卡4，29、30号有档期吗,2025-11-18 23:04:48,browser_automation
等你说晚安,buyer,问胖卡4，29、30号有档期吗,2025-11-18 23:04:48,browser_automation
等你说晚安,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:04:48,browser_automation
等你说晚安,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:04:48,browser_automation
等你说晚安,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:04:48,browser_automation
等你说晚安,seller,没有啦宝子已读,2025-11-18 23:04:48,browser_automation
等你说晚安,seller,没有啦宝子已读,2025-11-18 23:04:48,browser_automation
等你说晚安,seller,没有啦宝子,2025-11-18 23:04:48,browser_automation
等你说晚安,seller,"该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额",2025-11-18 23:04:48,browser_automation
