用户昵称,消息角色,消息内容,时间戳,消息来源
已读不回丨,buyer,租三天什么价？,2025-11-18 22:53:55,browser_automation
已读不回丨,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:53:55,browser_automation
已读不回丨,seller,你好哇 三天是66r,2025-11-18 22:53:55,browser_automation
已读不回丨,buyer,价格有少吗,2025-11-18 22:53:55,browser_automation
已读不回丨,seller,不议价啦宝子,2025-11-18 22:53:55,browser_automation
已读不回丨,buyer,租三天什么价？,2025-11-18 22:53:55,browser_automation
已读不回丨,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:53:55,browser_automation
已读不回丨,seller,你好哇 三天是66r,2025-11-18 22:53:55,browser_automation
已读不回丨,buyer,价格有少吗,2025-11-18 22:53:55,browser_automation
已读不回丨,seller,不议价啦宝子,2025-11-18 22:53:55,browser_automation
已读不回丨,buyer,已读不回丨(t***2)闲鱼号...,2025-11-18 22:53:55,browser_automation
已读不回丨,buyer,10-08 18:55租三天什么价？亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读10-08 19:16你好哇 三天是66r已读价格有少吗10-08 19:46不议价啦宝子未读不想宝贝被砍价? 设置不砍价回复,2025-11-18 22:53:55,browser_automation
已读不回丨,buyer,租三天什么价？,2025-11-18 22:53:55,browser_automation
已读不回丨,buyer,租三天什么价？,2025-11-18 22:53:55,browser_automation
已读不回丨,buyer,租三天什么价？,2025-11-18 22:53:55,browser_automation
已读不回丨,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:53:55,browser_automation
已读不回丨,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:53:55,browser_automation
已读不回丨,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:53:55,browser_automation
已读不回丨,seller,你好哇 三天是66r已读,2025-11-18 22:53:55,browser_automation
已读不回丨,seller,你好哇 三天是66r已读,2025-11-18 22:53:55,browser_automation
已读不回丨,seller,你好哇 三天是66r,2025-11-18 22:53:55,browser_automation
已读不回丨,buyer,价格有少吗,2025-11-18 22:53:55,browser_automation
已读不回丨,buyer,价格有少吗,2025-11-18 22:53:55,browser_automation
已读不回丨,buyer,价格有少吗,2025-11-18 22:53:55,browser_automation
已读不回丨,seller,不议价啦宝子未读,2025-11-18 22:53:55,browser_automation
已读不回丨,seller,不议价啦宝子未读,2025-11-18 22:53:55,browser_automation
已读不回丨,seller,不议价啦宝子,2025-11-18 22:53:55,browser_automation
已读不回丨,seller,不想宝贝被砍价? 设置不砍价回复,2025-11-18 22:53:55,browser_automation
