用户昵称,消息角色,消息内容,时间戳,消息来源
我爱睡觉,buyer,宝宝问问28寄到，31寄回，胖卡四租29 30还有吗,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,你好,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,这个档期没有了,2025-11-18 23:04:59,browser_automation
我爱睡觉,buyer,好的,2025-11-18 23:04:59,browser_automation
我爱睡觉,buyer,宝宝问问28寄到，31寄回，胖卡四租29 30还有吗,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,你好,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,这个档期没有了,2025-11-18 23:04:59,browser_automation
我爱睡觉,buyer,好的,2025-11-18 23:04:59,browser_automation
我爱睡觉,buyer,我爱睡觉(x***9)闲鱼号...,2025-11-18 23:04:59,browser_automation
我爱睡觉,buyer,08-20 18:36宝宝问问28寄到，31寄回，胖卡四租29 30还有吗亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读你好已读这个档期没有了已读已读好的,2025-11-18 23:04:59,browser_automation
我爱睡觉,buyer,宝宝问问28寄到，31寄回，胖卡四租29 30还有吗,2025-11-18 23:04:59,browser_automation
我爱睡觉,buyer,宝宝问问28寄到，31寄回，胖卡四租29 30还有吗,2025-11-18 23:04:59,browser_automation
我爱睡觉,buyer,宝宝问问28寄到，31寄回，胖卡四租29 30还有吗,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,你好已读,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,你好已读,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,你好,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,这个档期没有了已读,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,这个档期没有了已读,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,这个档期没有了,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,已读,2025-11-18 23:04:59,browser_automation
我爱睡觉,seller,已读,2025-11-18 23:04:59,browser_automation
我爱睡觉,buyer,好的,2025-11-18 23:04:59,browser_automation
我爱睡觉,buyer,好的,2025-11-18 23:04:59,browser_automation
我爱睡觉,buyer,好的,2025-11-18 23:04:59,browser_automation
