用户昵称,消息角色,消息内容,时间戳,消息来源
茶鵺叶夜耶,buyer,你放丰巢柜我晚上去取哈,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,请给我发一个地址,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,seller,好的 我等下发一下丰巢柜导航图给你,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,收到,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,好的,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,你好,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,又不需要租相机了,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,可以退吗,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,实在不好意思,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,seller,可以的哈,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,谢谢谢谢,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,你放丰巢柜我晚上去取哈,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,请给我发一个地址,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,seller,好的 我等下发一下丰巢柜导航图给你,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,收到,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,好的,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,你好,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,又不需要租相机了,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,可以退吗,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,实在不好意思,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,seller,可以的哈,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,谢谢谢谢,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,茶鵺叶夜耶(q***0)闲鱼号...,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,seller,查看钱款,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,11-14 15:47你放丰巢柜我晚上去取哈请给我发一个地址记得及时发货如已发货，请点击「去发货」输入快递单号去发货好的 我等下发一下丰巢柜导航图给你已读11-14 16:14图片预览已读已读收到金熙数码租赁南京分公司云锦路与福园街交叉口西北60米已读好的11-14 16:55你好又不需要租相机了可以退吗实在不好意思我发起了退款申请等待你处理，请确认操作去处理退款成功，钱款已原路退返可以的哈已读11-14 17:00谢谢谢谢此消息不支持在PC端浏览，请到APP上查看已读,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,你放丰巢柜我晚上去取哈,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,你放丰巢柜我晚上去取哈,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,你放丰巢柜我晚上去取哈,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,请给我发一个地址,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,请给我发一个地址,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,请给我发一个地址,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,记得及时发货如已发货，请点击「去发货」输入快递单号去发货,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,记得及时发货如已发货，请点击「去发货」输入快递单号去发货,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,seller,好的 我等下发一下丰巢柜导航图给你已读,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,seller,好的 我等下发一下丰巢柜导航图给你已读,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,seller,好的 我等下发一下丰巢柜导航图给你,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,seller,图片预览已读,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,seller,图片预览已读,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,seller,已读,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,seller,已读,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,收到,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,收到,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,收到,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,seller,金熙数码租赁南京分公司云锦路与福园街交叉口西北60米已读,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,seller,金熙数码租赁南京分公司云锦路与福园街交叉口西北60米已读,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,好的,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,好的,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,好的,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,你好,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,你好,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,你好,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,又不需要租相机了,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,又不需要租相机了,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,又不需要租相机了,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,可以退吗,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,可以退吗,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,可以退吗,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,实在不好意思,2025-11-18 22:47:27,browser_automation
茶鵺叶夜耶,buyer,实在不好意思,2025-11-18 22:47:27,browser_automation
