用户昵称,消息角色,消息内容,时间戳,消息来源
贫穷的小张^-^,buyer,hello，9.27-30 想要租oppo findx8u,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,你好，有滴~,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,9.27-9.30四天。9.26到手，10.1寄回对吗？,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,buyer,嗯嗯,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,buyer,hello，在吗,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,你好在的,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,500~顺丰包邮寄出滴,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,buyer,hello，9.27-30 想要租oppo findx8u,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,你好，有滴~,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,9.27-9.30四天。9.26到手，10.1寄回对吗？,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,buyer,嗯嗯,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,buyer,hello，在吗,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,你好在的,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,500~顺丰包邮寄出滴,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,buyer,贫穷的小张^-^(尘***悦)闲鱼号...,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,buyer,09-10 09:41hello，9.27-30 想要租oppo findx8u亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读09-10 12:00你好，有滴~已读9.27-9.30四天。9.26到手，10.1寄回对吗？已读09-10 15:28嗯嗯09-23 14:40hello，在吗09-23 15:06你好在的 已读贫穷的小张^-^hello，9.27-30 想要租oppo findx8u500~顺丰包邮寄出滴已读,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,buyer,hello，9.27-30 想要租oppo findx8u,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,buyer,hello，9.27-30 想要租oppo findx8u,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,buyer,hello，9.27-30 想要租oppo findx8u,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,你好，有滴~已读,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,你好，有滴~已读,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,你好，有滴~,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,9.27-9.30四天。9.26到手，10.1寄回对吗？已读,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,9.27-9.30四天。9.26到手，10.1寄回对吗？已读,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,9.27-9.30四天。9.26到手，10.1寄回对吗？,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,buyer,嗯嗯,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,buyer,嗯嗯,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,buyer,嗯嗯,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,buyer,hello，在吗,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,buyer,hello，在吗,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,buyer,hello，在吗,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,你好在的 已读,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,你好在的 已读,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,你好在的,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,贫穷的小张^-^hello，9.27-30 想要租oppo findx8u500~顺丰包邮寄出滴已读,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,贫穷的小张^-^hello，9.27-30 想要租oppo findx8u500~顺丰包邮寄出滴已读,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,贫穷的小张^-^hello，9.27-30 想要租oppo findx8u500~顺丰包邮寄出滴,2025-11-18 22:55:57,browser_automation
贫穷的小张^-^,seller,贫穷的小张^-^hello，9.27-30 想要租oppo findx8u,2025-11-18 22:55:57,browser_automation
