用户昵称,消息角色,消息内容,时间戳,消息来源
北周兴奋的茼蒿,buyer,2200行不？,2025-11-18 22:47:17,browser_automation
北周兴奋的茼蒿,seller,你好 最低2200了亲亲，不议价了~,2025-11-18 22:47:17,browser_automation
北周兴奋的茼蒿,buyer,2200行不？,2025-11-18 22:47:17,browser_automation
北周兴奋的茼蒿,seller,你好 最低2200了亲亲，不议价了~,2025-11-18 22:47:17,browser_automation
北周兴奋的茼蒿,buyer,北周兴奋的茼蒿(t***6)闲鱼号...,2025-11-18 22:47:17,browser_automation
北周兴奋的茼蒿,buyer,11-15 14:232200行不？11-15 14:37你好 最低2200了亲亲，不议价了~已读,2025-11-18 22:47:17,browser_automation
北周兴奋的茼蒿,buyer,2200行不？,2025-11-18 22:47:17,browser_automation
北周兴奋的茼蒿,buyer,2200行不？,2025-11-18 22:47:17,browser_automation
北周兴奋的茼蒿,buyer,2200行不？,2025-11-18 22:47:17,browser_automation
北周兴奋的茼蒿,seller,你好 最低2200了亲亲，不议价了~已读,2025-11-18 22:47:17,browser_automation
北周兴奋的茼蒿,seller,你好 最低2200了亲亲，不议价了~已读,2025-11-18 22:47:17,browser_automation
北周兴奋的茼蒿,seller,你好 最低2200了亲亲，不议价了~,2025-11-18 22:47:17,browser_automation
