用户昵称,消息角色,消息内容,时间戳,消息来源
Tmh22,buyer,上次租，用花呗的押金,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,这次怎么不行了,2025-11-18 22:50:47,browser_automation
Tmh22,seller,是不是双11用完额度哈哈哈,2025-11-18 22:50:47,browser_automation
Tmh22,seller,现在便宜点噢，有限时特惠价,2025-11-18 22:50:47,browser_automation
Tmh22,seller,我改价给你,2025-11-18 22:50:47,browser_automation
Tmh22,seller,要选这个原花呗,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,不行么,2025-11-18 22:50:47,browser_automation
Tmh22,seller,呀....怎么这样的,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,会不会上次，用芝麻分租借的，还没有释放出来？,2025-11-18 22:50:47,browser_automation
Tmh22,seller,不会的，订单结束他就秒退的,2025-11-18 22:50:47,browser_automation
Tmh22,seller,这个确实不知道为啥会没有,2025-11-18 22:50:47,browser_automation
Tmh22,seller,我发我另外一家店的给你试试看,2025-11-18 22:50:47,browser_automation
Tmh22,seller,闲鱼搜 火星情绪稳定的蔬菜,2025-11-18 22:50:47,browser_automation
Tmh22,seller,也是我,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,上次租，用花呗的押金,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,这次怎么不行了,2025-11-18 22:50:47,browser_automation
Tmh22,seller,是不是双11用完额度哈哈哈,2025-11-18 22:50:47,browser_automation
Tmh22,seller,现在便宜点噢，有限时特惠价,2025-11-18 22:50:47,browser_automation
Tmh22,seller,我改价给你,2025-11-18 22:50:47,browser_automation
Tmh22,seller,要选这个原花呗,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,不行么,2025-11-18 22:50:47,browser_automation
Tmh22,seller,呀....怎么这样的,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,会不会上次，用芝麻分租借的，还没有释放出来？,2025-11-18 22:50:47,browser_automation
Tmh22,seller,不会的，订单结束他就秒退的,2025-11-18 22:50:47,browser_automation
Tmh22,seller,这个确实不知道为啥会没有,2025-11-18 22:50:47,browser_automation
Tmh22,seller,我发我另外一家店的给你试试看,2025-11-18 22:50:47,browser_automation
Tmh22,seller,闲鱼搜 火星情绪稳定的蔬菜,2025-11-18 22:50:47,browser_automation
Tmh22,seller,也是我,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,Tmh22(t***7)闲鱼号...,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,上次租，用花呗的押金,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,上次租，用花呗的押金,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,上次租，用花呗的押金,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,这次怎么不行了,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,这次怎么不行了,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,这次怎么不行了,2025-11-18 22:50:47,browser_automation
Tmh22,seller,你当前宝贝拍下未付款请在15分钟内付款，避免宝贝被其他人抢走已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,你当前宝贝拍下未付款请在15分钟内付款，避免宝贝被其他人抢走已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,是不是双11用完额度哈哈哈已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,是不是双11用完额度哈哈哈已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,是不是双11用完额度哈哈哈,2025-11-18 22:50:47,browser_automation
Tmh22,seller,图片预览已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,图片预览已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,现在便宜点噢，有限时特惠价已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,现在便宜点噢，有限时特惠价已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,现在便宜点噢，有限时特惠价,2025-11-18 22:50:47,browser_automation
Tmh22,seller,我改价给你已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,我改价给你已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,我改价给你,2025-11-18 22:50:47,browser_automation
Tmh22,seller,我已修改价格，等待你付款请确认价格与协商一致，并在24小时内付款已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,我已修改价格，等待你付款请确认价格与协商一致，并在24小时内付款已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,小金星租赁店预览要选这个原花呗已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,小金星租赁店预览要选这个原花呗已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,小金星租赁店预览要选这个原花呗,2025-11-18 22:50:47,browser_automation
Tmh22,seller,小金星租赁店预览,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,图片预览,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,图片预览,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,图片预览,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,图片预览,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,不行么,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,不行么,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,不行么,2025-11-18 22:50:47,browser_automation
Tmh22,seller,呀....怎么这样的已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,呀....怎么这样的已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,呀....怎么这样的,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,图片预览,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,图片预览,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,会不会上次，用芝麻分租借的，还没有释放出来？,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,会不会上次，用芝麻分租借的，还没有释放出来？,2025-11-18 22:50:47,browser_automation
Tmh22,buyer,会不会上次，用芝麻分租借的，还没有释放出来？,2025-11-18 22:50:47,browser_automation
Tmh22,seller,不会的，订单结束他就秒退的已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,不会的，订单结束他就秒退的已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,不会的，订单结束他就秒退的,2025-11-18 22:50:47,browser_automation
Tmh22,seller,这个确实不知道为啥会没有我发我另外一家店的给你试试看已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,这个确实不知道为啥会没有我发我另外一家店的给你试试看已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,这个确实不知道为啥会没有我发我另外一家店的给你试试看,2025-11-18 22:50:47,browser_automation
Tmh22,seller,闲鱼搜 火星情绪稳定的蔬菜已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,闲鱼搜 火星情绪稳定的蔬菜已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,闲鱼搜 火星情绪稳定的蔬菜,2025-11-18 22:50:47,browser_automation
Tmh22,seller,也是我已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,也是我已读,2025-11-18 22:50:47,browser_automation
Tmh22,seller,也是我,2025-11-18 22:50:47,browser_automation
Tmh22,seller,你当前宝贝拍下未付款请在15分钟内付款，避免宝贝被其他人抢走,2025-11-18 22:50:47,browser_automation
Tmh22,seller,你当前宝贝拍下未付款,2025-11-18 22:50:47,browser_automation
Tmh22,seller,请在15分钟内付款，避免宝贝被其他人抢走,2025-11-18 22:50:47,browser_automation
Tmh22,seller,我已修改价格，等待你付款请确认价格与协商一致，并在24小时内付款,2025-11-18 22:50:47,browser_automation
Tmh22,seller,我已修改价格，等待你付款,2025-11-18 22:50:47,browser_automation
