用户昵称,消息角色,消息内容,时间戳,消息来源
努力的丹姐,buyer,老板600包邮出吗,2025-11-18 22:50:15,browser_automation
努力的丹姐,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:50:15,browser_automation
努力的丹姐,seller,顺丰包邮滴,2025-11-18 22:50:15,browser_automation
努力的丹姐,buyer,老板600包邮出吗,2025-11-18 22:50:15,browser_automation
努力的丹姐,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:50:15,browser_automation
努力的丹姐,seller,顺丰包邮滴,2025-11-18 22:50:15,browser_automation
努力的丹姐,buyer,努力的丹姐(x***8)闲鱼号...,2025-11-18 22:50:15,browser_automation
努力的丹姐,buyer,11-04 06:56老板600包邮出吗亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读11-04 09:08顺丰包邮滴未读,2025-11-18 22:50:15,browser_automation
努力的丹姐,buyer,老板600包邮出吗,2025-11-18 22:50:15,browser_automation
努力的丹姐,buyer,老板600包邮出吗,2025-11-18 22:50:15,browser_automation
努力的丹姐,buyer,老板600包邮出吗,2025-11-18 22:50:15,browser_automation
努力的丹姐,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:50:15,browser_automation
努力的丹姐,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:50:15,browser_automation
努力的丹姐,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:50:15,browser_automation
努力的丹姐,seller,顺丰包邮滴未读,2025-11-18 22:50:15,browser_automation
努力的丹姐,seller,顺丰包邮滴未读,2025-11-18 22:50:15,browser_automation
努力的丹姐,seller,顺丰包邮滴,2025-11-18 22:50:15,browser_automation
