用户昵称,消息角色,消息内容,时间戳,消息来源
julie0791,buyer,想租22号收到25号寄回还有吗,2025-11-18 23:09:34,browser_automation
julie0791,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:09:34,browser_automation
julie0791,seller,你好，这个档期没有了噢宝宝,2025-11-18 23:09:34,browser_automation
julie0791,buyer,想租22号收到25号寄回还有吗,2025-11-18 23:09:34,browser_automation
julie0791,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:09:34,browser_automation
julie0791,seller,你好，这个档期没有了噢宝宝,2025-11-18 23:09:34,browser_automation
julie0791,buyer,julie0791(j***x)闲鱼号...,2025-11-18 23:09:34,browser_automation
julie0791,buyer,12:19想租22号收到25号寄回还有吗亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读12:43你好，这个档期没有了噢宝宝已读,2025-11-18 23:09:34,browser_automation
julie0791,buyer,想租22号收到25号寄回还有吗,2025-11-18 23:09:34,browser_automation
julie0791,buyer,想租22号收到25号寄回还有吗,2025-11-18 23:09:34,browser_automation
julie0791,buyer,想租22号收到25号寄回还有吗,2025-11-18 23:09:34,browser_automation
julie0791,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:09:34,browser_automation
julie0791,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:09:34,browser_automation
julie0791,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:09:34,browser_automation
julie0791,seller,你好，这个档期没有了噢宝宝已读,2025-11-18 23:09:34,browser_automation
julie0791,seller,你好，这个档期没有了噢宝宝已读,2025-11-18 23:09:34,browser_automation
julie0791,seller,你好，这个档期没有了噢宝宝,2025-11-18 23:09:34,browser_automation
