用户昵称,消息角色,消息内容,时间戳,消息来源
用户_87209626,buyer,包邮哈,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,是的，我现在预约一下顺丰,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,收到没问题直接签收,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,我送个屏幕膜给你，本来贴遥控器上面的那张因为要拍屏幕原本状态，我撕掉了。我这边给一张全新贴膜你哈,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,谢谢,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,已预约顺丰11-13点来,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,👌,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,包邮哈,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,是的，我现在预约一下顺丰,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,收到没问题直接签收,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,我送个屏幕膜给你，本来贴遥控器上面的那张因为要拍屏幕原本状态，我撕掉了。我这边给一张全新贴膜你哈,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,谢谢,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,已预约顺丰11-13点来,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,👌,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,用户_87209626(彩***伞)闲鱼号...,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,提醒收货,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,昨天 09:22在线寄件运费【立减1.5元】 点击预约快递包邮哈是的，我现在预约一下顺丰已读收到没问题直接签收昨天 09:40已读我送个屏幕膜给你，本来贴遥控器上面的那张因为要拍屏幕原本状态，我撕掉了。我这边给一张全新贴膜你哈已读谢谢昨天 09:53图片预览已读已预约顺丰11-13点来已读昨天 12:04快递已完成取件，请支付快递费昨天 13:09👌昨天 14:04你已发货09:49图片预览09:55图片预览,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,包邮哈,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,包邮哈,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,包邮哈,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,是的，我现在预约一下顺丰已读,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,是的，我现在预约一下顺丰已读,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,是的，我现在预约一下顺丰,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,收到没问题直接签收,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,收到没问题直接签收,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,收到没问题直接签收,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,已读,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,已读,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,我送个屏幕膜给你，本来贴遥控器上面的那张因为要拍屏幕原本状态，我撕掉了。我这边给一张全新贴膜你哈已读,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,我送个屏幕膜给你，本来贴遥控器上面的那张因为要拍屏幕原本状态，我撕掉了。我这边给一张全新贴膜你哈已读,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,我送个屏幕膜给你，本来贴遥控器上面的那张因为要拍屏幕原本状态，我撕掉了。我这边给一张全新贴膜你哈,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,谢谢,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,谢谢,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,谢谢,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,图片预览已读,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,图片预览已读,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,已预约顺丰11-13点来已读,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,已预约顺丰11-13点来已读,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,已预约顺丰11-13点来,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,👌,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,👌,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,👌,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,图片预览,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,图片预览,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,图片预览,2025-11-18 22:46:11,browser_automation
用户_87209626,buyer,图片预览,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,在线寄件运费【立减1.5元】 点击预约快递,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,快递已完成取件，请支付快递费,2025-11-18 22:46:11,browser_automation
用户_87209626,seller,你已发货,2025-11-18 22:46:11,browser_automation
