用户昵称,消息角色,消息内容,时间戳,消息来源
春日颂歌,buyer,深圳罗湖十五号,2025-11-18 22:48:12,browser_automation
春日颂歌,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,你好,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,有没有档期,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,急急急,2025-11-18 22:48:12,browser_automation
春日颂歌,seller,你好~,2025-11-18 22:48:12,browser_automation
春日颂歌,seller,mini90本周档期租完啦宝~剩一台mini11,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,深圳罗湖十五号,2025-11-18 22:48:12,browser_automation
春日颂歌,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,你好,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,有没有档期,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,急急急,2025-11-18 22:48:12,browser_automation
春日颂歌,seller,你好~,2025-11-18 22:48:12,browser_automation
春日颂歌,seller,mini90本周档期租完啦宝~剩一台mini11,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,春日颂歌(d***6)闲鱼号...,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,11-12 22:48深圳罗湖十五号亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读11-12 23:16你好有没有档期急急急11-13 09:08你好~未读你撤回了一条消息mini90本周档期租完啦宝~剩一台mini11未读,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,深圳罗湖十五号,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,深圳罗湖十五号,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,深圳罗湖十五号,2025-11-18 22:48:12,browser_automation
春日颂歌,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:48:12,browser_automation
春日颂歌,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:48:12,browser_automation
春日颂歌,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,你好,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,你好,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,你好,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,有没有档期,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,有没有档期,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,有没有档期,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,急急急,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,急急急,2025-11-18 22:48:12,browser_automation
春日颂歌,buyer,急急急,2025-11-18 22:48:12,browser_automation
春日颂歌,seller,你好~未读,2025-11-18 22:48:12,browser_automation
春日颂歌,seller,你好~未读,2025-11-18 22:48:12,browser_automation
春日颂歌,seller,你好~,2025-11-18 22:48:12,browser_automation
春日颂歌,seller,mini90本周档期租完啦宝~剩一台mini11未读,2025-11-18 22:48:12,browser_automation
春日颂歌,seller,mini90本周档期租完啦宝~剩一台mini11未读,2025-11-18 22:48:12,browser_automation
春日颂歌,seller,mini90本周档期租完啦宝~剩一台mini11,2025-11-18 22:48:12,browser_automation
春日颂歌,seller,你撤回了一条消息,2025-11-18 22:48:12,browser_automation
