用户昵称,消息角色,消息内容,时间戳,消息来源
旭20081008,buyer,您好,2025-11-18 22:50:36,browser_automation
旭20081008,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:50:36,browser_automation
旭20081008,seller,你好,2025-11-18 22:50:36,browser_automation
旭20081008,buyer,您好,2025-11-18 22:50:36,browser_automation
旭20081008,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:50:36,browser_automation
旭20081008,seller,你好,2025-11-18 22:50:36,browser_automation
旭20081008,buyer,旭20081008(肖***娜)闲鱼号...,2025-11-18 22:50:36,browser_automation
旭20081008,buyer,11-01 08:13您好亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读11-01 09:16你好未读,2025-11-18 22:50:36,browser_automation
旭20081008,buyer,您好,2025-11-18 22:50:36,browser_automation
旭20081008,buyer,您好,2025-11-18 22:50:36,browser_automation
旭20081008,buyer,您好,2025-11-18 22:50:36,browser_automation
旭20081008,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:50:36,browser_automation
旭20081008,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:50:36,browser_automation
旭20081008,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:50:36,browser_automation
旭20081008,seller,你好未读,2025-11-18 22:50:36,browser_automation
旭20081008,seller,你好未读,2025-11-18 22:50:36,browser_automation
旭20081008,seller,你好,2025-11-18 22:50:36,browser_automation
