用户昵称,消息角色,消息内容,时间戳,消息来源
Homieen,buyer,你好宝宝 8.29-8.30还有档期吗,2025-11-18 23:02:35,browser_automation
Homieen,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:02:35,browser_automation
Homieen,seller,没有了宝宝 这个档期很早租完了,2025-11-18 23:02:35,browser_automation
Homieen,buyer,好的谢谢,2025-11-18 23:02:35,browser_automation
Homieen,buyer,你好宝宝 8.29-8.30还有档期吗,2025-11-18 23:02:35,browser_automation
Homieen,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:02:35,browser_automation
Homieen,seller,没有了宝宝 这个档期很早租完了,2025-11-18 23:02:35,browser_automation
Homieen,buyer,好的谢谢,2025-11-18 23:02:35,browser_automation
Homieen,buyer,Homieen(x***9)闲鱼号...,2025-11-18 23:02:35,browser_automation
Homieen,buyer,08-27 09:34你好宝宝 8.29-8.30还有档期吗亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读08-27 22:16没有了宝宝 这个档期很早租完了已读08-27 22:45好的谢谢,2025-11-18 23:02:35,browser_automation
Homieen,buyer,你好宝宝 8.29-8.30还有档期吗,2025-11-18 23:02:35,browser_automation
Homieen,buyer,你好宝宝 8.29-8.30还有档期吗,2025-11-18 23:02:35,browser_automation
Homieen,buyer,你好宝宝 8.29-8.30还有档期吗,2025-11-18 23:02:35,browser_automation
Homieen,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:02:35,browser_automation
Homieen,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:02:35,browser_automation
Homieen,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:02:35,browser_automation
Homieen,seller,没有了宝宝 这个档期很早租完了已读,2025-11-18 23:02:35,browser_automation
Homieen,seller,没有了宝宝 这个档期很早租完了已读,2025-11-18 23:02:35,browser_automation
Homieen,seller,没有了宝宝 这个档期很早租完了,2025-11-18 23:02:35,browser_automation
Homieen,buyer,好的谢谢,2025-11-18 23:02:35,browser_automation
Homieen,buyer,好的谢谢,2025-11-18 23:02:35,browser_automation
Homieen,buyer,好的谢谢,2025-11-18 23:02:35,browser_automation
