用户昵称,消息角色,消息内容,时间戳,消息来源
想不出名字,buyer,请问9.13南京自提有档期吗,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,14归还,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,演唱会用,2025-11-18 23:10:30,browser_automation
想不出名字,seller,你好 有的~,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,算几天租金呀,2025-11-18 23:10:30,browser_automation
想不出名字,seller,9.12到手，9.13一天，8.15还~350.,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,好的我考虑一下,2025-11-18 23:10:30,browser_automation
想不出名字,seller,好滴~,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,请问9.13南京自提有档期吗,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,14归还,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,演唱会用,2025-11-18 23:10:30,browser_automation
想不出名字,seller,你好 有的~,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,算几天租金呀,2025-11-18 23:10:30,browser_automation
想不出名字,seller,9.12到手，9.13一天，8.15还~350.,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,好的我考虑一下,2025-11-18 23:10:30,browser_automation
想不出名字,seller,好滴~,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,想不出名字(安***女)闲鱼号...,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,08-14 15:09请问9.13南京自提有档期吗14归还演唱会用你好 有的~已读算几天租金呀9.12到手，9.13一天，8.15还~350.已读好的我考虑一下好滴~已读,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,请问9.13南京自提有档期吗,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,请问9.13南京自提有档期吗,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,请问9.13南京自提有档期吗,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,14归还,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,14归还,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,14归还,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,演唱会用,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,演唱会用,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,演唱会用,2025-11-18 23:10:30,browser_automation
想不出名字,seller,你好 有的~已读,2025-11-18 23:10:30,browser_automation
想不出名字,seller,你好 有的~已读,2025-11-18 23:10:30,browser_automation
想不出名字,seller,你好 有的~,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,算几天租金呀,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,算几天租金呀,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,算几天租金呀,2025-11-18 23:10:30,browser_automation
想不出名字,seller,9.12到手，9.13一天，8.15还~350.已读,2025-11-18 23:10:30,browser_automation
想不出名字,seller,9.12到手，9.13一天，8.15还~350.已读,2025-11-18 23:10:30,browser_automation
想不出名字,seller,9.12到手，9.13一天，8.15还~350.,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,好的我考虑一下,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,好的我考虑一下,2025-11-18 23:10:30,browser_automation
想不出名字,buyer,好的我考虑一下,2025-11-18 23:10:30,browser_automation
想不出名字,seller,好滴~已读,2025-11-18 23:10:30,browser_automation
想不出名字,seller,好滴~已读,2025-11-18 23:10:30,browser_automation
想不出名字,seller,好滴~,2025-11-18 23:10:30,browser_automation
