用户昵称,消息角色,消息内容,时间戳,消息来源
植物园打哈欠的榛子,buyer,您好请问明天南京胖卡4自提，租一天多少钱,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,明我看看明天还有没有机子哈，稍等,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,好的,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,明天到手，14还~300,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,嘶，小贵,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,13还呢,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,太急了，今天捡漏的,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,自提的话可优惠10r，290~,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,单独一天是比较贵,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,13还，我优惠给您220,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,本来是没有13还哈哈,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,因为我们都是提前到手。然后租期后一天归还哈哈哈,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,就比如说是5号一天，4号到手，6号还这样,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,嗷嗷嗷,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,您好请问明天南京胖卡4自提，租一天多少钱,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,明我看看明天还有没有机子哈，稍等,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,好的,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,明天到手，14还~300,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,嘶，小贵,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,13还呢,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,太急了，今天捡漏的,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,自提的话可优惠10r，290~,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,单独一天是比较贵,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,13还，我优惠给您220,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,本来是没有13还哈哈,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,因为我们都是提前到手。然后租期后一天归还哈哈哈,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,就比如说是5号一天，4号到手，6号还这样,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,嗷嗷嗷,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,植物园打哈欠的榛子(t***6)闲鱼号...,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,09-11 21:53您好请问明天南京胖卡4自提，租一天多少钱亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读09-11 22:16明我看看明天还有没有机子哈，稍等已读好的你撤回了一条消息明天到手，14还~300已读嘶，小贵13还呢太急了，今天捡漏的自提的话可优惠10r，290~已读单独一天是比较贵已读13还，我优惠给您220已读本来是没有13还哈哈已读因为我们都是提前到手。然后租期后一天归还哈哈哈已读就比如说是5号一天，4号到手，6号还这样已读09-11 22:21嗷嗷嗷,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,您好请问明天南京胖卡4自提，租一天多少钱,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,您好请问明天南京胖卡4自提，租一天多少钱,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,您好请问明天南京胖卡4自提，租一天多少钱,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,明我看看明天还有没有机子哈，稍等已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,明我看看明天还有没有机子哈，稍等已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,明我看看明天还有没有机子哈，稍等,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,好的,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,好的,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,好的,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,明天到手，14还~300已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,明天到手，14还~300已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,明天到手，14还~300,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,嘶，小贵,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,嘶，小贵,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,嘶，小贵,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,13还呢,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,13还呢,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,13还呢,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,太急了，今天捡漏的,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,太急了，今天捡漏的,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,太急了，今天捡漏的,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,自提的话可优惠10r，290~已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,自提的话可优惠10r，290~已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,自提的话可优惠10r，290~,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,单独一天是比较贵已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,单独一天是比较贵已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,单独一天是比较贵,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,13还，我优惠给您220已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,13还，我优惠给您220已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,13还，我优惠给您220,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,本来是没有13还哈哈已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,本来是没有13还哈哈已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,本来是没有13还哈哈,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,因为我们都是提前到手。然后租期后一天归还哈哈哈已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,因为我们都是提前到手。然后租期后一天归还哈哈哈已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,因为我们都是提前到手。然后租期后一天归还哈哈哈,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,就比如说是5号一天，4号到手，6号还这样已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,就比如说是5号一天，4号到手，6号还这样已读,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,就比如说是5号一天，4号到手，6号还这样,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,嗷嗷嗷,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,嗷嗷嗷,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,buyer,嗷嗷嗷,2025-11-18 22:58:55,browser_automation
植物园打哈欠的榛子,seller,你撤回了一条消息,2025-11-18 22:58:55,browser_automation
