用户昵称,消息角色,消息内容,时间戳,消息来源
汐农宝宝,buyer,什么价格,2025-11-18 22:57:48,browser_automation
汐农宝宝,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:57:48,browser_automation
汐农宝宝,seller,你好，是几号到几号需要哇宝子,2025-11-18 22:57:48,browser_automation
汐农宝宝,buyer,十月三号要用,2025-11-18 22:57:48,browser_automation
汐农宝宝,seller,国庆档期五天起租噢宝宝,2025-11-18 22:57:48,browser_automation
汐农宝宝,buyer,什么价格,2025-11-18 22:57:48,browser_automation
汐农宝宝,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:57:48,browser_automation
汐农宝宝,seller,你好，是几号到几号需要哇宝子,2025-11-18 22:57:48,browser_automation
汐农宝宝,buyer,十月三号要用,2025-11-18 22:57:48,browser_automation
汐农宝宝,seller,国庆档期五天起租噢宝宝,2025-11-18 22:57:48,browser_automation
汐农宝宝,buyer,汐农宝宝(t***2)闲鱼号...,2025-11-18 22:57:48,browser_automation
汐农宝宝,buyer,09-11 20:01什么价格亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读09-11 22:16你好，是几号到几号需要哇宝子已读09-13 21:00十月三号要用09-15 09:12国庆档期五天起租噢宝宝已读,2025-11-18 22:57:48,browser_automation
汐农宝宝,buyer,什么价格,2025-11-18 22:57:48,browser_automation
汐农宝宝,buyer,什么价格,2025-11-18 22:57:48,browser_automation
汐农宝宝,buyer,什么价格,2025-11-18 22:57:48,browser_automation
汐农宝宝,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:57:48,browser_automation
汐农宝宝,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:57:48,browser_automation
汐农宝宝,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:57:48,browser_automation
汐农宝宝,seller,你好，是几号到几号需要哇宝子已读,2025-11-18 22:57:48,browser_automation
汐农宝宝,seller,你好，是几号到几号需要哇宝子已读,2025-11-18 22:57:48,browser_automation
汐农宝宝,seller,你好，是几号到几号需要哇宝子,2025-11-18 22:57:48,browser_automation
汐农宝宝,buyer,十月三号要用,2025-11-18 22:57:48,browser_automation
汐农宝宝,buyer,十月三号要用,2025-11-18 22:57:48,browser_automation
汐农宝宝,buyer,十月三号要用,2025-11-18 22:57:48,browser_automation
汐农宝宝,seller,国庆档期五天起租噢宝宝已读,2025-11-18 22:57:48,browser_automation
汐农宝宝,seller,国庆档期五天起租噢宝宝已读,2025-11-18 22:57:48,browser_automation
汐农宝宝,seller,国庆档期五天起租噢宝宝,2025-11-18 22:57:48,browser_automation
