用户昵称,消息角色,消息内容,时间戳,消息来源
小小丸子叮叮当,seller,您近不近？,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,还可以呢，我在雨花,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,宝子是计划几号到几号用？我看看档期库存哈~,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,9.24-9.28,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,9.24-9.28五天，9.23到手~9.29还 对不？,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,9.24到手，9.28还,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,哦哦哦哈哈~好的,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,嗯嗯,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,那就是9.25-9.27三天滴~,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,嗯嗯，28号可能要到下午还哦,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,租的话有什么赔偿规则嘛,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,押金多少,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,205，如果宝子没空来自提，我们顺丰包邮寄出滴~,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,可以凭芝麻信用免押滴~,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,地址在哪里～,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,可以去店里直接看,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,没考虑好租哪种机型,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,您近不近？,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,还可以呢，我在雨花,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,宝子是计划几号到几号用？我看看档期库存哈~,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,9.24-9.28,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,9.24-9.28五天，9.23到手~9.29还 对不？,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,9.24到手，9.28还,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,哦哦哦哈哈~好的,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,嗯嗯,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,那就是9.25-9.27三天滴~,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,嗯嗯，28号可能要到下午还哦,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,租的话有什么赔偿规则嘛,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,押金多少,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,205，如果宝子没空来自提，我们顺丰包邮寄出滴~,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,可以凭芝麻信用免押滴~,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,地址在哪里～,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,可以去店里直接看,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,没考虑好租哪种机型,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,小小丸子叮叮当(小***当)闲鱼号...,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,"09-12 16:29您近不近？已读还可以呢，我在雨花宝子是计划几号到几号用？我看看档期库存哈~已读9.24-9.289.24-9.28五天，9.23到手~9.29还 对不？已读9.24到手，9.28还哦哦哦哈哈~好的已读嗯嗯那就是9.25-9.27三天滴~已读嗯嗯，28号可能要到下午还哦租的话有什么赔偿规则嘛押金多少09-12 16:47205，如果宝子没空来自提，我们顺丰包邮寄出滴~已读图片预览已读小小丸子叮叮当押金多少可以凭芝麻信用免押滴~已读09-13 12:08地址在哪里～该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读可以去店里直接看没考虑好租哪种机型",2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,您近不近？已读,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,您近不近？已读,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,您近不近？,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,还可以呢，我在雨花,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,还可以呢，我在雨花,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,还可以呢，我在雨花,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,宝子是计划几号到几号用？我看看档期库存哈~已读,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,宝子是计划几号到几号用？我看看档期库存哈~已读,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,seller,宝子是计划几号到几号用？我看看档期库存哈~,2025-11-18 22:58:10,browser_automation
小小丸子叮叮当,buyer,9.24-9.28,2025-11-18 22:58:10,browser_automation
