用户昵称,消息角色,消息内容,时间戳,消息来源
89LX,seller,哈哈哈,2025-11-18 23:00:12,browser_automation
89LX,seller,jinxi-xing,2025-11-18 23:00:12,browser_automation
89LX,buyer,ok,2025-11-18 23:00:12,browser_automation
89LX,buyer,加咯,2025-11-18 23:00:12,browser_automation
89LX,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~,2025-11-18 23:00:12,browser_automation
89LX,seller,哈哈哈,2025-11-18 23:00:12,browser_automation
89LX,seller,jinxi-xing,2025-11-18 23:00:12,browser_automation
89LX,buyer,ok,2025-11-18 23:00:12,browser_automation
89LX,buyer,加咯,2025-11-18 23:00:12,browser_automation
89LX,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~,2025-11-18 23:00:12,browser_automation
89LX,buyer,89LX(t***4)闲鱼号...,2025-11-18 23:00:12,browser_automation
89LX,seller,去评价,2025-11-18 23:00:12,browser_automation
89LX,buyer,08-22 21:51哈哈哈已读jinxi-xing已读ok我已读已读加咯08-25 22:00你已发货08-26 00:00请确认商品寄回地址请尽快确认商品寄回地址 去确认09-02 12:10买家已寄回09-02 16:53此消息不支持在PC端浏览，请到APP上查看09-05 10:24请确认退回金额我已验货完成，请尽快确认已读09-06 10:24买家已确认退回金额，交易成功宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~已读,2025-11-18 23:00:12,browser_automation
89LX,seller,哈哈哈已读,2025-11-18 23:00:12,browser_automation
89LX,seller,哈哈哈已读,2025-11-18 23:00:12,browser_automation
89LX,seller,哈哈哈,2025-11-18 23:00:12,browser_automation
89LX,seller,jinxi-xing已读,2025-11-18 23:00:12,browser_automation
89LX,seller,jinxi-xing已读,2025-11-18 23:00:12,browser_automation
89LX,seller,jinxi-xing,2025-11-18 23:00:12,browser_automation
89LX,buyer,ok,2025-11-18 23:00:12,browser_automation
89LX,buyer,ok,2025-11-18 23:00:12,browser_automation
89LX,buyer,ok,2025-11-18 23:00:12,browser_automation
89LX,seller,我已读,2025-11-18 23:00:12,browser_automation
89LX,seller,我已读,2025-11-18 23:00:12,browser_automation
89LX,seller,已读,2025-11-18 23:00:12,browser_automation
89LX,seller,已读,2025-11-18 23:00:12,browser_automation
89LX,buyer,加咯,2025-11-18 23:00:12,browser_automation
89LX,buyer,加咯,2025-11-18 23:00:12,browser_automation
89LX,buyer,加咯,2025-11-18 23:00:12,browser_automation
89LX,buyer,此消息不支持在PC端浏览，请到APP上查看,2025-11-18 23:00:12,browser_automation
89LX,buyer,此消息不支持在PC端浏览，请到APP上查看,2025-11-18 23:00:12,browser_automation
89LX,seller,请确认退回金额我已验货完成，请尽快确认已读,2025-11-18 23:00:12,browser_automation
89LX,seller,请确认退回金额我已验货完成，请尽快确认已读,2025-11-18 23:00:12,browser_automation
89LX,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~已读,2025-11-18 23:00:12,browser_automation
89LX,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~已读,2025-11-18 23:00:12,browser_automation
89LX,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~,2025-11-18 23:00:12,browser_automation
89LX,seller,你已发货,2025-11-18 23:00:12,browser_automation
89LX,buyer,请确认商品寄回地址请尽快确认商品寄回地址 去确认,2025-11-18 23:00:12,browser_automation
89LX,seller,买家已寄回,2025-11-18 23:00:12,browser_automation
89LX,seller,请确认退回金额我已验货完成，请尽快确认,2025-11-18 23:00:12,browser_automation
89LX,seller,请确认退回金额,2025-11-18 23:00:12,browser_automation
89LX,seller,我已验货完成，请尽快确认,2025-11-18 23:00:12,browser_automation
89LX,seller,买家已确认退回金额，交易成功,2025-11-18 23:00:12,browser_automation
