用户昵称,消息角色,消息内容,时间戳,消息来源
荡秋千的风1,buyer,👌🏻,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,好哒,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,宝子 我找一下您 发免押给您哈,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,租机科技小小金是我~,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,哪里？,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,👌🏻,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,好哒,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,宝子 我找一下您 发免押给您哈,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,租机科技小小金是我~,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,哪里？,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,荡秋千的风1(t***3)闲鱼号...,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,去评价,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,09-23 22:30👌🏻好哒已读宝子 我找一下您 发免押给您哈已读租机科技小小金是我~已读哪里？09-25 10:52你已发货09-30 00:00请确认商品寄回地址请尽快确认商品寄回地址 去确认10-03 00:00租期结束，请尽快寄回商品请和卖家确认地址后寄回未读10-03 10:56买家已寄回10-07 17:58我已寄回，请尽快确认您需在7日内完成商品验收和确认退回金额10-08 09:28请确认退回金额我已验货完成，请尽快确认未读10-09 09:28买家已确认退回金额，交易成功10-09 16:34宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~已读,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,👌🏻,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,👌🏻,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,👌🏻,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,好哒已读,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,好哒已读,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,好哒,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,宝子 我找一下您 发免押给您哈已读,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,宝子 我找一下您 发免押给您哈已读,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,宝子 我找一下您 发免押给您哈,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,租机科技小小金是我~已读,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,租机科技小小金是我~已读,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,租机科技小小金是我~,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,哪里？,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,哪里？,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,哪里？,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回未读,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回未读,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,我已寄回，请尽快确认您需在7日内完成商品验收和确认退回金额,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,我已寄回，请尽快确认您需在7日内完成商品验收和确认退回金额,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,请确认退回金额我已验货完成，请尽快确认未读,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,请确认退回金额我已验货完成，请尽快确认未读,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~已读,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~已读,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,宝宝有空的话可以发3图+20字好评哦~下次可以直接免5R优惠~,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,你已发货,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,请确认商品寄回地址请尽快确认商品寄回地址 去确认,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,租期结束，请尽快寄回商品,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,请和卖家确认地址后寄回,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,买家已寄回,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,我已寄回，请尽快确认您需在7日内完成商品验收和确认退回金额,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,我已寄回，请尽快确认,2025-11-18 22:53:44,browser_automation
荡秋千的风1,buyer,您需在7日内完成商品验收和确认退回金额,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,请确认退回金额我已验货完成，请尽快确认,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,请确认退回金额,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,我已验货完成，请尽快确认,2025-11-18 22:53:44,browser_automation
荡秋千的风1,seller,买家已确认退回金额，交易成功,2025-11-18 22:53:44,browser_automation
