用户昵称,消息角色,消息内容,时间戳,消息来源
Qnawil_,buyer,21-22还有档期吗,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,有哒,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,21-22，20到手，23归还这样吗,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,价格是多少呢,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,两天70哒,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,包单程邮费吗～,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,然后我想走免押,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,租金满一百 包顺丰寄出邮费,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,凭芝麻信用免押哈宝子,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,21-22还有档期吗,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,有哒,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,21-22，20到手，23归还这样吗,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,价格是多少呢,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,两天70哒,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,包单程邮费吗～,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,然后我想走免押,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,租金满一百 包顺丰寄出邮费,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,凭芝麻信用免押哈宝子,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,Qnawil_(x***7)闲鱼号...,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,"08-17 23:0621-22还有档期吗该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读08-17 23:14有哒已读21-22，20到手，23归还这样吗已读对价格是多少呢08-17 23:42两天70哒已读包单程邮费吗～然后我想走免押08-17 23:49租金满一百 包顺丰寄出邮费已读凭芝麻信用免押哈宝子已读",2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,21-22还有档期吗,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,21-22还有档期吗,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,21-22还有档期吗,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,有哒已读,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,有哒已读,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,有哒,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,21-22，20到手，23归还这样吗已读,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,21-22，20到手，23归还这样吗已读,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,21-22，20到手，23归还这样吗,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,价格是多少呢,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,价格是多少呢,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,价格是多少呢,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,两天70哒已读,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,两天70哒已读,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,两天70哒,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,包单程邮费吗～,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,包单程邮费吗～,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,包单程邮费吗～,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,然后我想走免押,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,然后我想走免押,2025-11-18 23:09:45,browser_automation
Qnawil_,buyer,然后我想走免押,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,租金满一百 包顺丰寄出邮费已读,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,租金满一百 包顺丰寄出邮费已读,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,租金满一百 包顺丰寄出邮费,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,凭芝麻信用免押哈宝子已读,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,凭芝麻信用免押哈宝子已读,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,凭芝麻信用免押哈宝子,2025-11-18 23:09:45,browser_automation
Qnawil_,seller,"该买家近期有1笔租赁订单未完结, 请谨慎设置押金金额",2025-11-18 23:09:45,browser_automation
