用户昵称,消息角色,消息内容,时间戳,消息来源
果然星罕见的陈皮,buyer,SF0287281842832,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,buyer,SF0287281842832,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,buyer,果然星罕见的陈皮(x***1)闲鱼号...,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,查看评价,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,buyer,08-22 19:55在线寄件运费【立减2元】 点击预约快递08-23 09:39你已发货请确认商品寄回地址请尽快确认商品寄回地址 去确认08-24 00:00租期结束，请尽快寄回商品请和卖家确认地址后寄回已读08-25 12:49SF0287281842832亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读买家已寄回09-01 09:30请确认退回金额我已验货完成，请尽快确认未读09-01 20:37买家已确认退回金额，交易成功我完成了评价期待你的评价去评价09-02 14:36我完成了评价已完成互评，可以查看评价查看评价已读,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回已读,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回已读,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,buyer,SF0287281842832,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,buyer,SF0287281842832,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,buyer,SF0287281842832,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,请确认退回金额我已验货完成，请尽快确认未读,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,请确认退回金额我已验货完成，请尽快确认未读,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,buyer,我完成了评价期待你的评价去评价,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,buyer,我完成了评价期待你的评价去评价,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,我完成了评价已完成互评，可以查看评价查看评价已读,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,我完成了评价已完成互评，可以查看评价查看评价已读,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,在线寄件运费【立减2元】 点击预约快递,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,你已发货,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,buyer,请确认商品寄回地址请尽快确认商品寄回地址 去确认,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,租期结束，请尽快寄回商品请和卖家确认地址后寄回,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,租期结束，请尽快寄回商品,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,请和卖家确认地址后寄回,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,买家已寄回,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,请确认退回金额我已验货完成，请尽快确认,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,请确认退回金额,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,我已验货完成，请尽快确认,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,买家已确认退回金额，交易成功,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,buyer,我完成了评价期待你的评价去评价,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,buyer,我完成了评价,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,buyer,期待你的评价,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,去评价,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,去评价,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,我完成了评价已完成互评，可以查看评价查看评价,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,我完成了评价,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,已完成互评，可以查看评价,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,查看评价,2025-11-18 23:01:18,browser_automation
果然星罕见的陈皮,seller,查看评价,2025-11-18 23:01:18,browser_automation
