用户昵称,消息角色,消息内容,时间戳,消息来源
余秋雨白,buyer,你好，请问胖卡4 9.20-9.21能租吗,2025-11-18 22:58:44,browser_automation
余秋雨白,seller,这个档期的胖卡租完了宝子~,2025-11-18 22:58:44,browser_automation
余秋雨白,seller,目前剩佳能70.740和索尼HX99,2025-11-18 22:58:44,browser_automation
余秋雨白,buyer,好的谢谢,2025-11-18 22:58:44,browser_automation
余秋雨白,buyer,你好，请问胖卡4 9.20-9.21能租吗,2025-11-18 22:58:44,browser_automation
余秋雨白,seller,这个档期的胖卡租完了宝子~,2025-11-18 22:58:44,browser_automation
余秋雨白,seller,目前剩佳能70.740和索尼HX99,2025-11-18 22:58:44,browser_automation
余秋雨白,buyer,好的谢谢,2025-11-18 22:58:44,browser_automation
余秋雨白,buyer,余秋雨白(x***7)闲鱼号...,2025-11-18 22:58:44,browser_automation
余秋雨白,buyer,09-12 17:25你好，请问胖卡4 9.20-9.21能租吗这个档期的胖卡租完了宝子~已读目前剩佳能70.740和索尼HX99已读好的谢谢已读,2025-11-18 22:58:44,browser_automation
余秋雨白,buyer,你好，请问胖卡4 9.20-9.21能租吗,2025-11-18 22:58:44,browser_automation
余秋雨白,buyer,你好，请问胖卡4 9.20-9.21能租吗,2025-11-18 22:58:44,browser_automation
余秋雨白,buyer,你好，请问胖卡4 9.20-9.21能租吗,2025-11-18 22:58:44,browser_automation
余秋雨白,seller,这个档期的胖卡租完了宝子~已读,2025-11-18 22:58:44,browser_automation
余秋雨白,seller,这个档期的胖卡租完了宝子~已读,2025-11-18 22:58:44,browser_automation
余秋雨白,seller,这个档期的胖卡租完了宝子~,2025-11-18 22:58:44,browser_automation
余秋雨白,seller,目前剩佳能70.740和索尼HX99已读,2025-11-18 22:58:44,browser_automation
余秋雨白,seller,目前剩佳能70.740和索尼HX99已读,2025-11-18 22:58:44,browser_automation
余秋雨白,seller,目前剩佳能70.740和索尼HX99,2025-11-18 22:58:44,browser_automation
余秋雨白,buyer,好的谢谢,2025-11-18 22:58:44,browser_automation
余秋雨白,buyer,好的谢谢,2025-11-18 22:58:44,browser_automation
余秋雨白,buyer,好的谢谢,2025-11-18 22:58:44,browser_automation
余秋雨白,seller,已读,2025-11-18 22:58:44,browser_automation
余秋雨白,seller,已读,2025-11-18 22:58:44,browser_automation
