用户昵称,消息角色,消息内容,时间戳,消息来源
亓遇yu,buyer,国庆寄佛山，2号收到，8号寄回，有吗？ oppo x8u,2025-11-18 22:57:03,browser_automation
亓遇yu,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:57:03,browser_automation
亓遇yu,seller,你好，有哒,2025-11-18 22:57:03,browser_automation
亓遇yu,buyer,多少呀？,2025-11-18 22:57:03,browser_automation
亓遇yu,seller,550，顺丰包邮寄出~,2025-11-18 22:57:03,browser_automation
亓遇yu,buyer,国庆寄佛山，2号收到，8号寄回，有吗？ oppo x8u,2025-11-18 22:57:03,browser_automation
亓遇yu,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:57:03,browser_automation
亓遇yu,seller,你好，有哒,2025-11-18 22:57:03,browser_automation
亓遇yu,buyer,多少呀？,2025-11-18 22:57:03,browser_automation
亓遇yu,seller,550，顺丰包邮寄出~,2025-11-18 22:57:03,browser_automation
亓遇yu,buyer,亓遇yu(x***9)闲鱼号...,2025-11-18 22:57:03,browser_automation
亓遇yu,buyer,09-14 17:57国庆寄佛山，2号收到，8号寄回，有吗？ oppo x8u亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读09-15 09:11你好，有哒已读09-15 16:11多少呀？550，顺丰包邮寄出~已读,2025-11-18 22:57:03,browser_automation
亓遇yu,buyer,国庆寄佛山，2号收到，8号寄回，有吗？ oppo x8u,2025-11-18 22:57:03,browser_automation
亓遇yu,buyer,国庆寄佛山，2号收到，8号寄回，有吗？ oppo x8u,2025-11-18 22:57:03,browser_automation
亓遇yu,buyer,国庆寄佛山，2号收到，8号寄回，有吗？ oppo x8u,2025-11-18 22:57:03,browser_automation
亓遇yu,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:57:03,browser_automation
亓遇yu,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:57:03,browser_automation
亓遇yu,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:57:03,browser_automation
亓遇yu,seller,你好，有哒已读,2025-11-18 22:57:03,browser_automation
亓遇yu,seller,你好，有哒已读,2025-11-18 22:57:03,browser_automation
亓遇yu,seller,你好，有哒,2025-11-18 22:57:03,browser_automation
亓遇yu,buyer,多少呀？,2025-11-18 22:57:03,browser_automation
亓遇yu,buyer,多少呀？,2025-11-18 22:57:03,browser_automation
亓遇yu,buyer,多少呀？,2025-11-18 22:57:03,browser_automation
亓遇yu,seller,550，顺丰包邮寄出~已读,2025-11-18 22:57:03,browser_automation
亓遇yu,seller,550，顺丰包邮寄出~已读,2025-11-18 22:57:03,browser_automation
亓遇yu,seller,550，顺丰包邮寄出~,2025-11-18 22:57:03,browser_automation
