用户昵称,消息角色,消息内容,时间戳,消息来源
山茶花的英,buyer,600包邮出吗老板,2025-11-18 22:49:41,browser_automation
山茶花的英,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:49:41,browser_automation
山茶花的英,seller,你好 是的~,2025-11-18 22:49:41,browser_automation
山茶花的英,buyer,600包邮出吗老板,2025-11-18 22:49:41,browser_automation
山茶花的英,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:49:41,browser_automation
山茶花的英,seller,你好 是的~,2025-11-18 22:49:41,browser_automation
山茶花的英,buyer,山茶花的英(叮***店)闲鱼号...,2025-11-18 22:49:41,browser_automation
山茶花的英,buyer,11-08 09:33600包邮出吗老板亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读11-10 09:09你好 是的~未读,2025-11-18 22:49:41,browser_automation
山茶花的英,buyer,600包邮出吗老板,2025-11-18 22:49:41,browser_automation
山茶花的英,buyer,600包邮出吗老板,2025-11-18 22:49:41,browser_automation
山茶花的英,buyer,600包邮出吗老板,2025-11-18 22:49:41,browser_automation
山茶花的英,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:49:41,browser_automation
山茶花的英,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复已读,2025-11-18 22:49:41,browser_automation
山茶花的英,seller,亲，我现在不在，喜欢可以拍下，有问题留言哦～会尽快回复,2025-11-18 22:49:41,browser_automation
山茶花的英,seller,你好 是的~未读,2025-11-18 22:49:41,browser_automation
山茶花的英,seller,你好 是的~未读,2025-11-18 22:49:41,browser_automation
山茶花的英,seller,你好 是的~,2025-11-18 22:49:41,browser_automation
